Element,Incentive 1,Incentive 2,Incentive 3,Incentive 4,Incentive 5,Incentive 6,Incentive 7,Incentive 8,Incentive 9,Incentive 10,Incentive 11,Incentive 12,Incentive 13,Incentive 14,Incentive 15,Incentive 16,Incentive 17,Incentive 18,Incentive 19,Incentive 20,Incentive 21,Incentive 22,Incentive 23,Incentive 24
1336,-0.28745568,-0.230483648,-0.00421564,-0.010830531,2.14E-12,-0.28745568,1.81E-12,1.81E-12,-0.399365994,-0.053874493,-0.115408911,-0.177830706,-0.699349591,-0.359163288,-0.018656783,-0.191064539,-0.043618218,-0.585682599,-0.000961741,-1.088264764,-8.17E-12,-8.17E-12,-0.430995946,-0.144133617
1337,-0.486659546,-0.3869194,-0.017120955,-0.047002105,9.81E-12,-0.486659546,9.37E-12,9.37E-12,-0.03652154,-0.035252682,-0.01827022,-0.01827022,-0.047658258,-0.053139716,-0.006430297,-0.24821863,-0.028964962,-0.040364771,-0.000737017,-0.415728474,9.37E-12,9.37E-12,-0.053139716,-0.503411534
1338,-0.198853043,-0.159441534,-0.007669746,-0.021144541,-6.24E-14,-0.198853043,8.44E-14,8.44E-14,-0.055988009,-0.037388234,-0.023228413,-0.023228413,-0.077756474,-0.088031283,-0.005266972,-0.132172602,-0.029728416,-0.068020239,0.002501363,-0.302000904,-2.22E-16,-2.22E-16,-0.088031283,-0.546429711
1339,-0.085797007,-0.068792542,-0.00201146,-0.005418249,5.02E-14,-0.085797007,-8.22E-12,-8.22E-12,-0.149254544,-0.049024002,-0.086556689,-0.084126086,-0.185332558,-0.202180747,-0.016977054,-0.057027106,-0.039691132,-0.155744888,-0.000875152,-0.71866183,-3.54E-12,-3.54E-12,-0.202180747,-0.441910241
1340,-0.626037455,-0.501960497,-0.01002241,-0.026829152,-1.36E-10,-0.626037455,-1.39E-10,-1.39E-10,-0.1586367,-0.044847529,-0.093171745,-0.10030454,-0.189512932,-0.204694586,-0.015530738,-0.416111304,-0.036309749,-0.155686637,-0.000800596,-0.905920091,-1.37E-10,-1.37E-10,-0.204694586,-0.095274707
1341,-0.339644837,-0.271980988,-0.011349866,-0.032457295,1.41E-11,-0.339644837,1.41E-11,1.41E-11,-0.053898639,-0.043720209,-0.024971496,-0.024971496,-0.071684534,-0.08038455,-0.00768952,-0.225164181,-0.035273614,-0.061129415,-0.00076663,-0.392218791,1.41E-11,1.41E-11,-0.08038455,-0.554681322
1342,-0.294139618,-0.235842868,-0.008047717,-0.020636648,-6.31E-13,-0.294139618,-1.24E-12,-1.24E-12,-0.126876143,-0.044574176,-0.073645251,-0.06985156,-0.159682112,-0.174587675,-0.015436075,-0.195507184,-0.036088435,-0.134326748,-0.000795716,-0.606186874,1.81E-12,1.81E-12,-0.174587675,-0.430742412
1343,-0.545887883,-0.437696101,-0.008820391,-0.025134884,-1.52E-10,-0.545887883,-1.51E-10,-1.51E-10,-0.199524562,-0.03966466,-0.084968877,-0.114850294,-0.238169577,-0.243688827,-0.013735906,-0.362837906,-0.032113561,-0.196688209,-0.000708074,-0.801226129,-1.58E-10,-1.58E-10,-0.257082806,-0.123415866
1344,-0.546341612,-0.435446827,-0.017864284,-0.048870798,-3.17E-12,-0.546341612,-1.22E-12,-1.22E-12,-0.091268267,-0.042121339,-0.051926805,-0.049763352,-0.116242165,-0.127731013,-0.013651828,-0.277218489,-0.034102553,-0.097937843,-0.000751929,-0.511042712,-2.36E-12,-2.36E-12,-0.127731013,-0.443595355
1345,-0.468287954,-0.375476023,-0.008821836,-0.022491201,-9.91E-11,-0.468287954,-9.73E-11,-9.73E-11,-0.267050093,-0.04893648,-0.104830793,-0.124817094,-0.356045729,-0.316730291,-0.016946745,-0.31125919,-0.039620272,-0.297028359,-0.00087359,-0.947361452,-1.07E-10,-1.07E-10,-0.357178355,-0.23857032
