Element,Incentive 1,Incentive 2,Incentive 3,Incentive 4,Incentive 5,Incentive 6,Incentive 7,Incentive 8,Incentive 9,Incentive 10,Incentive 11,Incentive 12,Incentive 13,Incentive 14,Incentive 15,Incentive 16,Incentive 17,Incentive 18,Incentive 19,Incentive 20,Incentive 21,Incentive 22,Incentive 23,Incentive 24
0,-1.726832494,-1.384584405,-0.024508275,-0.063958973,-1.23E-13,-1.726832494,1.20E-11,1.20E-11,-0.381335184,-0.049386636,-0.105795108,-0.169801901,-0.663737019,-0.329244239,-0.017102634,-0.75265779,-0.03998473,-0.549992404,-0.000881626,-0.997610043,3.15E-12,3.15E-12,-0.395093086,-0.134431989
1,-0.193399465,-0.155068824,-0.003746771,-0.009611977,6.02E-12,-0.193399465,5.47E-12,5.47E-12,-0.195742258,-0.043594742,-0.092139678,-0.106104018,-0.239951193,-0.246568109,-0.015096896,-0.128547746,-0.035295459,-0.200203729,-0.000778232,-0.779830264,-1.55E-12,-1.55E-12,-0.260188719,-0.320512519
2,-0.392876545,-0.315010714,-0.008026735,-0.020815172,1.55E-14,-0.392876545,2.66E-12,2.66E-12,-0.150465475,-0.04450086,-0.087596031,-0.09071958,-0.182149262,-0.1976636,-0.015410686,-0.261135129,-0.036029077,-0.151129186,-0.000794407,-0.787076595,6.53E-13,6.53E-13,-0.1976636,-0.281570762
3,-0.324926377,-0.260527872,-0.009280897,-0.025301778,-1.10E-11,-0.324926377,-1.31E-11,-1.31E-11,-0.08557899,-0.040282317,-0.048109448,-0.048109448,-0.107157837,-0.117718636,-0.013063479,-0.215970367,-0.032613632,-0.090064806,-0.0007191,-0.534531356,-1.07E-11,-1.07E-11,-0.117718636,-0.444074273
4,-0.414937345,-0.332699193,-0.007317553,-0.019484231,7.28E-14,-0.414937345,6.08E-13,6.08E-13,-0.27327576,-0.044821919,-0.09601666,-0.122417684,-0.423780924,-0.298812795,-0.015521869,-0.275798386,-0.036289014,-0.354695407,-0.000800139,-0.886993492,-3.83E-13,-3.83E-13,-0.353405674,-0.178830962
5,-0.117194944,-0.093967592,-0.004241908,-0.011240037,-4.22E-13,-0.117194944,2.09E-13,2.09E-13,-0.084580076,-0.045272132,-0.043107165,-0.040863275,-0.116837297,-0.130273737,-0.009491847,-0.077896523,-0.036287113,-0.101296954,-0.000654314,-0.344044594,-8.73E-13,-8.73E-13,-0.130273737,-0.521217711
6,-0.636176638,-0.510090154,-0.015968384,-0.044592485,-6.97E-12,-0.636176638,-5.79E-12,-5.79E-12,-0.169221053,-0.044577495,-0.090764818,-0.082224926,-0.227397184,-0.237019954,-0.015437225,-0.373623021,-0.036091122,-0.190866177,-0.000795775,-0.740472368,-6.97E-12,-6.97E-12,-0.247091654,-0.380888953
7,-0.461822412,-0.370291914,-0.008671727,-0.025168889,-7.02E-14,-0.461822412,-7.31E-13,-7.31E-13,-0.141851076,-0.039734877,-0.080000154,-0.085929499,-0.171681407,-0.186297062,-0.013760222,-0.306961707,-0.03217041,-0.142328958,-0.000709327,-0.752508256,7.82E-12,7.82E-12,-0.186297062,-0.275887624
8,-0.282444357,-0.226465539,-0.005424245,-0.013758433,-3.77E-13,-0.282444357,-3.42E-13,-3.42E-13,-0.125531838,-0.04165276,-0.07596838,-0.07670049,-0.152172332,-0.165253877,-0.014424387,-0.187733639,-0.033723179,-0.125900673,-0.000743565,-0.772702744,2.49E-14,2.49E-14,-0.165253877,-0.278869619
9,-0.51568065,-0.413475765,-0.007195048,-0.019713263,-5.28E-12,-0.51568065,-9.50E-12,-9.50E-12,-0.247366479,-0.040409526,-0.086564516,-0.142153008,-0.294095111,-0.265451742,-0.013993854,-0.34275992,-0.032716624,-0.242562164,-0.000721371,-0.816272434,-8.94E-12,-8.94E-12,-0.301390937,-0.101725991
10,-0.27356131,-0.21934306,-0.007758417,-0.021007992,2.05E-13,-0.27356131,-4.19E-13,-4.19E-13,-0.136373925,-0.047358105,-0.080363858,-0.071332674,-0.176077871,-0.192458498,-0.016400152,-0.181829302,-0.038342378,-0.148734833,-0.000845414,-0.632736357,1.52E-11,1.52E-11,-0.192458498,-0.448800098
11,-0.262347863,-0.206958588,-0.008514472,-0.023244824,-3.08E-12,-0.262347863,-3.17E-12,-3.17E-12,-0.045695019,-0.037011256,-0.022960966,-0.022960966,-0.059512085,-0.066296671,-0.008123901,-0.168634593,-0.030373175,-0.050510284,-0.000749981,-0.418202462,-3.17E-12,-3.17E-12,-0.066296671,-0.508464021
12,-0.651338905,-0.522247348,-0.016876702,-0.044941343,-1.65E-13,-0.651338905,2.26E-12,2.26E-12,-0.128516209,-0.04290137,-0.074917904,-0.070277684,-0.161124961,-0.175972531,-0.014856781,-0.352069863,-0.034734087,-0.134954505,-0.000765854,-0.644069019,2.23E-12,2.23E-12,-0.175972531,-0.428914283
13,-0.134911839,-0.108173103,-0.00344632,-0.009130307,-1.19E-12,-0.134911839,7.23E-12,7.23E-12,-0.157189833,-0.048425985,-0.089291533,-0.081957223,-0.202648958,-0.221215011,-0.01676996,-0.089672496,-0.039206961,-0.171259066,-0.000864477,-0.665624868,7.58E-12,7.58E-12,-0.221215011,-0.46105109
14,-1.567202829,-1.256592404,-0.023925466,-0.064144191,1.92E-11,-1.567202829,2.50E-11,2.50E-11,-0.318219806,-0.046675791,-0.099987988,-0.141697725,-0.495432285,-0.311171938,-0.016163866,-0.628084231,-0.037789958,-0.410223758,-0.000833233,-0.942850972,1.81E-11,1.81E-11,-0.373406326,-0.111758485
15,-0.60684597,-0.486572652,-0.012788006,-0.032717767,2.20E-12,-0.60684597,3.20E-12,3.20E-12,-0.2264326,-0.051646915,-0.109913523,-0.112746274,-0.288542707,-0.295174285,-0.017885371,-0.403355208,-0.041814712,-0.240947828,-0.000921975,-0.928655159,-8.63E-12,-8.63E-12,-0.312621493,-0.356727504
16,-0.636370972,-0.510245971,-0.015996309,-0.040688686,-1.28E-12,-0.636370972,4.45E-12,4.45E-12,-0.100751744,-0.044433744,-0.060177721,-0.060177721,-0.123289957,-0.134363974,-0.015387444,-0.383682778,-0.035974738,-0.102286636,-0.000793209,-0.729634782,1.50E-11,1.50E-11,-0.134363974,-0.350548301
17,-0.102468664,-0.082159975,-0.002950903,-0.007601178,2.27E-12,-0.102468664,2.20E-12,2.20E-12,-0.058118758,-0.042437367,-0.030838817,-0.030838817,-0.07433848,-0.082305301,-0.010934208,-0.068108336,-0.034526405,-0.062682472,-0.000816726,-0.451537347,2.22E-12,2.22E-12,-0.082305301,-0.505691549
18,-0.624486871,-0.491013704,-0.020310273,-0.055136078,-1.21E-11,-0.624486871,-1.21E-11,-1.21E-11,-0.011927027,-0.016972703,-0.006310024,-0.006310024,-0.015299954,-0.016972703,-0.002411431,-0.250694066,-0.015299954,-0.01276979,-0.000696956,-0.461802261,-1.21E-11,-1.21E-11,-0.016972703,-0.475914419
19,-0.266863448,-0.213972675,-0.00419896,-0.010737245,1.60E-14,-0.266863448,-5.04E-13,-5.04E-13,-0.368878161,-0.050702689,-0.108614332,-0.164255006,-0.707997933,-0.338017926,-0.017558385,-0.177377402,-0.041050241,-0.595282615,-0.000905119,-1.024194314,3.54E-12,3.54E-12,-0.405621511,-0.144421005
20,-0.798573191,-0.64030066,-0.017056601,-0.044707866,-5.63E-13,-0.798573191,-2.96E-12,-2.96E-12,-0.16792803,-0.043104319,-0.089119514,-0.094101518,-0.203377657,-0.220433053,-0.014927063,-0.43810116,-0.0348984,-0.168652629,-0.000769477,-0.822446726,2.97E-12,2.97E-12,-0.220433053,-0.271617811
21,-0.91670403,-0.735018659,-0.016859218,-0.047186999,2.66E-14,-0.91670403,2.73E-12,2.73E-12,-0.241239183,-0.043201913,-0.092546314,-0.113750335,-0.307844673,-0.280797067,-0.01496086,-0.504205634,-0.034977415,-0.255313212,-0.000771219,-0.872678648,-2.73E-12,-2.73E-12,-0.315081667,-0.166446511
22,-0.288769004,-0.231536678,-0.009499925,-0.024842005,7.66E-13,-0.288769004,2.23E-13,2.23E-13,-0.122946195,-0.04525734,-0.075089024,-0.058753002,-0.18116707,-0.19534756,-0.015672656,-0.191937472,-0.036641543,-0.155170811,-0.000807912,-0.476345052,9.98E-13,9.98E-13,-0.198963708,-0.482584022
23,-0.785150905,-0.629538593,-0.020674058,-0.053252814,4.80E-14,-0.785150905,-8.46E-12,-8.46E-12,-0.18055978,-0.046227147,-0.096400622,-0.086700204,-0.247035615,-0.255134737,-0.016008501,-0.384304202,-0.037426724,-0.206843817,-0.000825224,-0.797868668,-2.01E-12,-2.01E-12,-0.267935923,-0.348360552
24,-0.852076583,-0.683199993,-0.018922968,-0.047684654,-4.24E-13,-0.852076583,-3.62E-12,-3.62E-12,-0.091976238,-0.042980346,-0.056149876,-0.056149876,-0.111574237,-0.12123408,-0.014884131,-0.420633953,-0.034798028,-0.091923094,-0.000767264,-0.793456889,-5.36E-12,-5.36E-12,-0.12123408,-0.256535756
25,-0.326886219,-0.262099284,-0.011018632,-0.029127853,7.24E-12,-0.326886219,6.55E-12,6.55E-12,-0.120596071,-0.050663456,-0.071514704,-0.059594109,-0.165703889,-0.182288957,-0.015961157,-0.217273024,-0.041262155,-0.141564183,-0.000909792,-0.563208369,7.22E-12,7.22E-12,-0.182288957,-0.527065061
26,-0.283476923,-0.221870266,-0.009402144,-0.025444127,-1.99E-13,-0.283476923,-8.88E-16,-8.88E-16,-0.120599919,-0.046842139,-0.074240523,-0.056724472,-0.185884463,-0.199269126,-0.014264786,-0.183924286,-0.038661429,-0.160506499,-0.000859047,-0.4887773,-4.44E-16,-4.44E-16,-0.204805589,-0.540729851
27,-0.349829153,-0.280495063,-0.011905542,-0.031295766,7.55E-14,-0.349829153,6.33E-13,6.33E-13,-0.026224959,-0.033181479,-0.012226963,-0.012226963,-0.034990661,-0.039316082,-0.003835192,-0.232522613,-0.028110238,-0.029768653,-0.000557923,-0.393801256,4.25E-13,4.25E-13,-0.039316082,-0.579923375
28,-0.860705963,-0.690119081,-0.016062435,-0.041728832,3.46E-14,-0.860705963,-3.00E-12,-3.00E-12,-0.279763894,-0.047683121,-0.102145872,-0.124573979,-0.501827687,-0.317887474,-0.016512706,-0.55218213,-0.038605519,-0.420023569,-0.000851216,-0.963199047,3.84E-12,3.84E-12,-0.381464969,-0.151006231
29,-0.499483524,-0.400488814,-0.014542003,-0.038838715,-2.01E-12,-0.499483524,-1.73E-11,-1.73E-11,-0.09859667,-0.042035886,-0.055950143,-0.054306782,-0.124485276,-0.136714577,-0.014276079,-0.308152057,-0.034033368,-0.104783483,-0.000750404,-0.52632608,2.08E-11,2.08E-11,-0.136714577,-0.461113037
30,-0.730603075,-0.585801824,-0.01520515,-0.040481943,-2.85E-12,-0.730603075,-2.30E-11,-2.30E-11,-0.024395415,-0.032239903,-0.014586846,-0.014586846,-0.029869772,-0.032584681,-0.006408524,-0.409499542,-0.028299634,-0.024515933,-0.00072324,-0.73889982,-3.14E-12,-3.14E-12,-0.032584681,-0.30394017
31,-0.694063882,-0.556504485,-0.011250006,-0.029759731,4.17E-14,-0.694063882,8.06E-13,8.06E-13,-0.135942334,-0.043031591,-0.084102777,-0.08512637,-0.163106479,-0.176479868,-0.014901877,-0.461326754,-0.034839517,-0.134011993,-0.000768179,-0.869238143,-5.33E-13,-5.33E-13,-0.176479868,-0.147095655
32,-0.198063572,-0.157497002,-0.006288516,-0.016665366,5.37E-13,-0.198063572,6.78E-13,6.78E-13,-0.042883959,-0.037938306,-0.020828668,-0.020828668,-0.057514095,-0.065022281,-0.006983051,-0.129428879,-0.030895513,-0.048079492,-0.000796143,-0.396881173,6.78E-13,6.78E-13,-0.065022281,-0.534371807
33,-0.571983595,-0.458619796,-0.014705099,-0.040492914,-4.44E-11,-0.571983595,-4.29E-11,-4.29E-11,-0.109638285,-0.04262266,-0.065752885,-0.065347831,-0.13390986,-0.145808662,-0.014760264,-0.360304984,-0.034508436,-0.111316697,-0.000760879,-0.724481098,-4.27E-11,-4.27E-11,-0.145808662,-0.334941383
34,-0.39920173,-0.320082284,-0.007430825,-0.018965944,6.32E-13,-0.39920173,3.24E-14,3.24E-14,-0.26128628,-0.049219617,-0.105437325,-0.130477332,-0.322665427,-0.310394087,-0.017044796,-0.26533932,-0.039849507,-0.268470851,-0.000878644,-0.975626754,2.09E-11,2.09E-11,-0.337664414,-0.249194918
35,-0.229475086,-0.183994468,-0.004604497,-0.012228815,-1.49E-13,-0.229475086,4.31E-13,4.31E-13,-0.203212556,-0.046285097,-0.098255052,-0.104469346,-0.252225005,-0.26080597,-0.016028569,-0.152526301,-0.037473642,-0.21057314,-0.000826259,-0.814995276,1.02E-11,1.02E-11,-0.273137064,-0.291228874
36,-0.682655325,-0.547357037,-0.016424008,-0.040946999,-4.52E-12,-0.682655325,-2.78E-11,-2.78E-11,-0.098244772,-0.044250374,-0.058859564,-0.058859564,-0.120088512,-0.130834172,-0.015323942,-0.408806175,-0.035826276,-0.099448654,-0.000789936,-0.759081952,-2.83E-11,-2.83E-11,-0.130834172,-0.350216225
37,-0.183591266,-0.147204552,-0.005016073,-0.013324623,-1.42E-13,-0.183591266,-1.23E-12,-1.23E-12,-0.055244712,-0.04164943,-0.030267407,-0.030267407,-0.069891487,-0.077098755,-0.011276096,-0.122028483,-0.034022185,-0.058582787,-0.000786476,-0.545140063,-1.31E-13,-1.31E-13,-0.077098755,-0.486530001
38,-0.569456804,-0.456593799,-0.012386459,-0.032556673,-6.06E-12,-0.569456804,-6.79E-12,-6.79E-12,-0.21248897,-0.04346986,-0.093120305,-0.099368119,-0.300691553,-0.274506796,-0.01505365,-0.378503572,-0.035194352,-0.251925532,-0.000776003,-0.79290989,-7.78E-12,-7.78E-12,-0.304051639,-0.303225907
39,-0.872797597,-0.699814224,-0.024160157,-0.062709542,3.61E-13,-0.872797597,1.06E-13,1.06E-13,-0.189337596,-0.047074022,-0.100841071,-0.084357349,-0.359514958,-0.300866865,-0.016301774,-0.373919346,-0.038112376,-0.304023014,-0.000840342,-0.812116209,-9.60E-12,-9.60E-12,-0.341581542,-0.352417514
40,-0.646624135,-0.518467017,-0.015468346,-0.042447066,1.13E-12,-0.646624135,-2.57E-12,-2.57E-12,-0.156846852,-0.040601669,-0.082778339,-0.081571453,-0.196015515,-0.210092876,-0.014060393,-0.378532276,-0.032872188,-0.163527369,-0.000724801,-0.723008646,-3.65E-12,-3.65E-12,-0.212881466,-0.326581907
41,-1.417711532,-1.136729408,-0.027741581,-0.071669489,-2.00E-10,-1.417711532,-1.99E-10,-1.99E-10,-0.167239533,-0.046501449,-0.097251037,-0.104408327,-0.199461027,-0.215305127,-0.016103492,-0.494211587,-0.037648806,-0.163743864,-0.000830121,-0.939329269,-1.97E-10,-1.97E-10,-0.215305127,-0.089017797
42,-0.539697558,-0.432732662,-0.013349072,-0.037561216,1.96E-12,-0.539697558,6.30E-12,6.30E-12,-0.163082947,-0.043742416,-0.088450349,-0.081193048,-0.210836293,-0.224647608,-0.015148036,-0.358723353,-0.03541502,-0.176623055,-0.000780868,-0.724267594,-3.41E-12,-3.41E-12,-0.229050782,-0.351027425
43,-0.234642792,-0.188137965,-0.007012033,-0.017786127,4.61E-12,-0.234642792,3.72E-12,3.72E-12,-0.12926769,-0.047655031,-0.073563273,-0.065894093,-0.172854557,-0.190088227,-0.016053228,-0.155961145,-0.038582777,-0.147318191,-0.000850714,-0.567358342,4.59E-12,4.59E-12,-0.190088227,-0.547412222
44,-0.910047791,-0.729681648,-0.02430016,-0.065160686,8.48E-14,-0.910047791,-1.32E-11,-1.32E-11,-0.136920097,-0.042175282,-0.080716472,-0.071286913,-0.172412992,-0.187641767,-0.014605336,-0.334609771,-0.034146226,-0.143795291,-0.000752892,-0.692405318,-1.66E-12,-1.66E-12,-0.187641767,-0.353584981
45,-0.200969492,-0.161138516,-0.004882009,-0.01250926,1.49E-13,-0.200969492,1.29E-12,1.29E-12,-0.213045259,-0.050645656,-0.10617074,-0.103195903,-0.290027193,-0.289195625,-0.017538634,-0.133579352,-0.041004066,-0.244621585,-0.000904101,-0.848561398,-3.04E-11,-3.04E-11,-0.308350476,-0.41307294
46,-0.538215544,-0.431544374,-0.012915629,-0.033744888,-4.94E-13,-0.538215544,-4.19E-12,-4.19E-12,-0.18387141,-0.043631606,-0.091890339,-0.088984867,-0.249181544,-0.250260435,-0.015109663,-0.357738295,-0.035325306,-0.209053748,-0.00077889,-0.733091017,-2.75E-13,-2.75E-13,-0.266844193,-0.348132262
47,-0.319320706,-0.256033211,-0.007871204,-0.021443593,3.29E-12,-0.319320706,2.95E-13,2.95E-13,-0.14248486,-0.042380826,-0.079796697,-0.076745851,-0.179634316,-0.195964807,-0.014676516,-0.212244418,-0.03431264,-0.150906122,-0.000756562,-0.636382982,-1.66E-12,-1.66E-12,-0.195964807,-0.413270386
48,-0.487182269,-0.390625596,-0.014002523,-0.036532,1.16E-12,-0.487182269,5.33E-12,5.33E-12,-0.085961229,-0.043861921,-0.048878423,-0.048878423,-0.107209219,-0.117627928,-0.014240854,-0.323817765,-0.035511774,-0.089778537,-0.000783001,-0.580838922,2.31E-12,2.31E-12,-0.117627928,-0.445728517
49,-0.078051235,-0.062581937,-0.002426258,-0.006368211,-7.04E-11,-0.078051235,-7.02E-11,-7.02E-11,-0.06292763,-0.041120785,-0.032065616,-0.032065616,-0.081525145,-0.090626371,-0.009938277,-0.051878687,-0.033290344,-0.069341686,-0.000810462,-0.446468361,-7.05E-11,-7.05E-11,-0.090626371,-0.533922379
50,-0.70641036,-0.566403963,-0.010617255,-0.028160152,-3.46E-14,-0.70641036,-6.00E-13,-6.00E-13,-0.309798005,-0.047457078,-0.101661647,-0.147860983,-0.38394723,-0.315243693,-0.016434427,-0.469533146,-0.038422509,-0.318027124,-0.00084718,-0.958632978,-3.88E-12,-3.88E-12,-0.367884174,-0.114612952
51,-0.536296975,-0.430006055,-0.009531237,-0.025565242,5.93E-12,-0.536296975,2.21E-12,2.21E-12,-0.218510971,-0.047635414,-0.102043676,-0.121560363,-0.262834688,-0.274316664,-0.016496185,-0.356463071,-0.038566895,-0.21792358,-0.000850364,-0.946133522,1.03E-11,1.03E-11,-0.284200074,-0.25381497
52,-0.520261007,-0.417148322,-0.009815041,-0.025027621,6.26E-12,-0.520261007,3.29E-12,3.29E-12,-0.204698887,-0.044035112,-0.094331175,-0.112865116,-0.247053843,-0.255880426,-0.015249397,-0.345804368,-0.035651994,-0.20491335,-0.000786093,-0.862297853,8.46E-12,8.46E-12,-0.26724719,-0.238932289
53,-0.333669418,-0.267538093,-0.006607351,-0.017461359,5.60E-14,-0.333669418,6.33E-13,6.33E-13,-0.15473911,-0.046276334,-0.091457371,-0.094455892,-0.186743248,-0.20241697,-0.016025534,-0.221781645,-0.037466548,-0.154731987,-0.000826102,-0.859647297,8.24E-13,8.24E-13,-0.20241697,-0.258819515
54,-0.211370712,-0.169478275,-0.005289762,-0.014286368,-3.30E-12,-0.211370712,-4.64E-12,-4.64E-12,-0.089481737,-0.042999594,-0.05043201,-0.05043201,-0.111949319,-0.122951969,-0.013943514,-0.140492781,-0.034813612,-0.093994048,-0.000767608,-0.560159395,-6.53E-12,-6.53E-12,-0.122951969,-0.462711868
55,-0.222694493,-0.178557748,-0.005642125,-0.014417943,5.88E-12,-0.222694493,3.65E-12,3.65E-12,-0.124989207,-0.048563087,-0.073280194,-0.072684586,-0.153992884,-0.168169486,-0.016817439,-0.148019412,-0.039317963,-0.128870406,-0.000866924,-0.728697858,-2.69E-11,-2.69E-11,-0.168169486,-0.440452871
56,-0.608831703,-0.488164824,-0.011860168,-0.031363136,-1.76E-12,-0.608831703,-8.09E-13,-8.09E-13,-0.223637443,-0.046934524,-0.100542241,-0.113388247,-0.275221111,-0.280854035,-0.016253466,-0.404675074,-0.037999435,-0.228627629,-0.000837852,-0.916643347,-7.37E-12,-7.37E-12,-0.297383605,-0.227741341
57,-0.632560789,-0.507190944,-0.018063933,-0.048524726,2.18E-12,-0.632560789,-5.38E-12,-5.38E-12,-0.140456079,-0.043053222,-0.081939775,-0.067619438,-0.196142177,-0.208609347,-0.014909368,-0.319291618,-0.034857031,-0.165601869,-0.000768565,-0.592656233,-9.19E-11,-9.19E-11,-0.214134244,-0.434569905
58,-0.570497768,-0.457428451,-0.009097643,-0.023777803,2.62E-11,-0.570497768,2.49E-11,2.49E-11,-0.246924774,-0.046814842,-0.100285861,-0.139831087,-0.294559866,-0.293622795,-0.01621202,-0.379195475,-0.037902538,-0.243446993,-0.000835715,-0.94565981,3.03E-11,3.03E-11,-0.315365331,-0.163297223
59,-0.436536146,-0.350017238,-0.008583387,-0.024013043,-1.04E-13,-0.436536146,-2.48E-12,-2.48E-12,-0.22525771,-0.043829615,-0.093890965,-0.107206407,-0.297253923,-0.277079595,-0.015178233,-0.290154564,-0.035485619,-0.24833805,-0.000782425,-0.834359484,-9.06E-13,-9.06E-13,-0.304704915,-0.267427025
60,-0.690966405,-0.546938688,-0.023421213,-0.062016348,-5.64E-12,-0.690966405,-5.91E-12,-5.91E-12,-0.118298664,-0.046558338,-0.073889108,-0.058022,-0.163027638,-0.178519102,-0.016123192,-0.282828011,-0.037694865,-0.137778536,-0.000831137,-0.569990584,2.12E-12,2.12E-12,-0.178519102,-0.448887151
61,-0.292950046,-0.234889062,-0.008085708,-0.020793446,-3.44E-12,-0.292950046,-1.40E-11,-1.40E-11,-0.107323298,-0.042899096,-0.061391354,-0.060034309,-0.133474377,-0.146247399,-0.014855994,-0.194716506,-0.034732246,-0.112173856,-0.000765814,-0.55368327,-2.47E-12,-2.47E-12,-0.146247399,-0.430584727
62,-0.168905099,-0.135429097,-0.002921107,-0.007990057,1.20E-10,-0.168905099,1.20E-10,1.20E-10,-0.26455849,-0.043095338,-0.092318011,-0.123687742,-0.349706459,-0.283347328,-0.014923952,-0.112266958,-0.034891129,-0.292046607,-0.000769317,-0.849403812,1.14E-10,1.14E-10,-0.32963576,-0.211190688
63,-0.135126267,-0.10686544,-0.00414948,-0.01113036,5.57E-12,-0.135126267,5.57E-12,5.57E-12,-0.107142946,-0.043257565,-0.058896187,-0.052813369,-0.153650204,-0.171808081,-0.011008554,-0.08858848,-0.035159307,-0.130676283,-0.000846526,-0.453516335,5.57E-12,5.57E-12,-0.171808081,-0.580222821
64,-0.191249996,-0.153345366,-0.003738477,-0.009858645,2.06E-11,-0.191249996,1.98E-11,1.98E-11,-0.131147991,-0.047308411,-0.0796037,-0.0796037,-0.159403703,-0.173264395,-0.016382943,-0.127119048,-0.038302144,-0.13217222,-0.000844526,-0.822346842,4.18E-11,4.18E-11,-0.173264395,-0.32359267
65,-0.147156647,-0.117991061,-0.003836305,-0.00994531,1.98E-12,-0.147156647,5.28E-13,5.28E-13,-0.094410752,-0.044760928,-0.053821512,-0.053821512,-0.117607291,-0.128964636,-0.015064499,-0.097811311,-0.036239634,-0.098615717,-0.00079905,-0.610590831,3.82E-12,3.82E-12,-0.128964636,-0.454529978
66,-0.208285578,-0.167004596,-0.003217235,-0.008569319,-3.04E-12,-0.208285578,-2.52E-12,-2.52E-12,-0.071793831,-0.042067883,-0.044404611,-0.044404611,-0.086629377,-0.093962603,-0.014568144,-0.13844217,-0.034059273,-0.070989889,-0.000750975,-0.838573929,-7.36E-12,-7.36E-12,-0.093962603,-0.182306532
67,-0.232309022,-0.186266734,-0.006789411,-0.018099635,1.15E-12,-0.232309022,4.34E-12,4.34E-12,-0.100872095,-0.042274732,-0.056334758,-0.054005109,-0.130331714,-0.143586564,-0.01314509,-0.154409947,-0.034463905,-0.110580437,-0.000759897,-0.479978509,1.06E-12,1.06E-12,-0.143586564,-0.490562879
68,-0.361872143,-0.290151203,-0.008187526,-0.021743534,-4.87E-12,-0.361872143,-5.37E-12,-5.37E-12,-0.066435623,-0.042100518,-0.039497698,-0.039497698,-0.081482863,-0.088902675,-0.013975012,-0.240527285,-0.034085696,-0.067373655,-0.000751558,-0.709327614,-6.91E-12,-6.91E-12,-0.088902675,-0.333075617
69,-0.604773232,-0.484910719,-0.016345452,-0.043130726,-1.12E-12,-0.604773232,1.25E-11,1.25E-11,-0.065641495,-0.041974339,-0.037999166,-0.037999166,-0.081357129,-0.089098103,-0.013069465,-0.337535398,-0.033983475,-0.06761467,-0.000749304,-0.63905667,3.68E-13,3.68E-13,-0.089098103,-0.408311689
70,-0.772786592,-0.619624814,-0.022602723,-0.060891412,-2.04E-12,-0.772786592,2.02E-12,2.02E-12,-0.155237429,-0.045304571,-0.089099067,-0.074078273,-0.221233319,-0.230630428,-0.015689012,-0.342744542,-0.036679782,-0.186656286,-0.000808755,-0.690125165,2.38E-12,2.38E-12,-0.241184825,-0.461953437
71,-0.559063752,-0.44826059,-0.010812773,-0.027889018,-3.27E-11,-0.559063752,-3.22E-11,-3.22E-11,-0.292257062,-0.053325191,-0.114232207,-0.132460139,-0.432791848,-0.351025051,-0.018466559,-0.371595573,-0.043173489,-0.361996637,-0.000951935,-1.060416,-4.53E-11,-4.53E-11,-0.408488319,-0.250658906
72,-0.809064144,-0.648712368,-0.021838784,-0.059179059,-8.25E-13,-0.809064144,-6.02E-12,-6.02E-12,-0.131402376,-0.042458047,-0.078983038,-0.070019742,-0.163593841,-0.17792013,-0.014703258,-0.329238805,-0.034375161,-0.13629878,-0.00075794,-0.696468549,-3.42E-12,-3.42E-12,-0.17792013,-0.321762865
73,-0.249188669,-0.199800934,-0.005945075,-0.016442264,4.44E-12,-0.249188669,1.17E-11,1.17E-11,-0.159420194,-0.043449573,-0.085540517,-0.082732265,-0.203383388,-0.216285936,-0.015046624,-0.165629422,-0.035177926,-0.171149038,-0.00077564,-0.675340538,3.44E-12,3.44E-12,-0.221547166,-0.41321019
74,-0.063798406,-0.051153935,-0.00227881,-0.006034775,2.66E-15,-0.063798406,9.21E-14,9.21E-14,-0.032330026,-0.036479647,-0.013348664,-0.013348664,-0.044511729,-0.050493072,-0.003166018,-0.042405191,-0.029905244,-0.038471678,0.000802904,-0.346006932,0,0,-0.050493072,-0.574038285
75,-0.227631602,-0.182516351,-0.006651648,-0.017982958,4.63E-13,-0.227631602,-1.54E-12,-1.54E-12,-0.074593941,-0.043121825,-0.040599362,-0.040599362,-0.094513942,-0.104268583,-0.012190793,-0.151300984,-0.035354534,-0.079715441,-0.000803568,-0.529430015,0,0,-0.104268583,-0.490628984
76,-0.382783923,-0.30691839,-0.010835016,-0.02841919,1.32E-11,-0.382783923,8.42E-12,8.42E-12,-0.041067387,-0.041045665,-0.023039203,-0.023039203,-0.051533772,-0.056702116,-0.009450588,-0.254426817,-0.033909761,-0.042893605,-0.000790761,-0.575587549,1.07E-10,1.07E-10,-0.056702116,-0.442035308
77,-0.919747851,-0.737459212,-0.022334112,-0.06102036,-9.50E-12,-0.919747851,4.68E-12,4.68E-12,-0.078330625,-0.042918662,-0.047621205,-0.047621205,-0.095192113,-0.103507751,-0.014862769,-0.383626853,-0.034748087,-0.078427388,-0.000766163,-0.817856896,-5.74E-12,-5.74E-12,-0.103507751,-0.283571403
78,-0.820177957,-0.657623488,-0.01893401,-0.050206632,-3.46E-13,-0.820177957,1.16E-12,1.16E-12,-0.214744103,-0.049096944,-0.105174537,-0.099345516,-0.305710635,-0.299305164,-0.017002314,-0.440355356,-0.039750188,-0.255516208,-0.000876454,-0.913398954,3.44E-12,3.44E-12,-0.322364612,-0.293477037
79,-0.090716865,-0.072737314,-0.002427445,-0.006120691,6.78E-12,-0.090716865,6.66E-12,6.66E-12,-0.152043313,-0.051154977,-0.086965928,-0.080894886,-0.195964106,-0.214544137,-0.017715012,-0.060297212,-0.041416426,-0.166069397,-0.000913193,-0.676569891,6.77E-12,6.77E-12,-0.214544137,-0.533551506
