Element,Stream-lipidcane,Stream-lipidcane,Boiler turbogenerator-BT,Boiler turbogenerator-BT,Fermentation-R301,Stream-biodiesel,Stream-lipidcane,Biorefinery,Biorefinery,Biorefinery
21,0.03568076574210308,319061.1443293272,0.8533225128789986,0.8662579447487245,0.8828737866467551,1.4400307910103556,0.05197031510546679,-21.405316213961317,-292330.109043209,2.2029204700977814
22,0.03626687747688538,319225.094523834,0.8109342428895459,0.7649645508100351,0.8887653522035538,1.3106695190287863,0.051066606528800455,-16.021212795014115,-208949.10448124722,2.4540746413024954
23,0.03418461311005744,319434.7837589621,0.8468415101947814,0.7889318073357473,0.8786915989696175,1.4132115785854806,0.05452966653816839,-19.39075611958145,-262180.98591186426,2.1816956500343814
24,0.03641389862345501,361158.47868923366,0.8266799672801092,0.8048560443310745,0.8892769843760544,1.301743836214085,0.05095900768904282,-20.283769102928265,-269520.2195376047,2.344476080847242
25,0.03449373840487914,324378.7980012902,0.8160691851921382,0.7960260618694018,0.8942170919752994,1.4508325529044208,0.04866309008627849,-16.95985971870359,-221803.73903268995,2.210149807817601
26,0.033839491843052474,337786.38300992624,0.8378907776755292,0.7174213325770527,0.89590912578697,1.467252958584381,0.054008944380975546,-17.86643901963788,-235695.13939419837,2.0952906881685767
27,0.03433316271645086,350617.2090259268,0.8156421877531858,0.8031516482893818,0.8785839450594984,1.3680819831732944,0.052020098451199634,-19.06937444364135,-252999.3227896551,2.209687255769984
28,0.03759073018271284,328712.8535513747,0.8128831881351741,0.747003918579725,0.9032746101247903,1.3264144034148455,0.050401382528728916,-16.05840967343033,-207452.21630052544,2.470348652525949
29,0.036277884842101364,348965.46469426365,0.7788808186951302,0.8508505589834437,0.8748720285196686,1.3365609405911905,0.05062924966047169,-17.16731909702988,-223692.78752005094,2.3853512815105167
30,0.03591220768938714,333762.59780986747,0.8348281006574887,0.7779289917946528,0.8894083973217758,1.3455804179738282,0.0503898561177809,-18.54465285965438,-245797.81720886394,2.3432923632961384
31,0.03524467375595442,344788.17543226894,0.7442597321226365,0.8219772285843837,0.9364142376586702,1.368919926752638,0.04923665917769103,-13.259665021000341,-160350.90935283358,2.2273925357838995
32,0.03177732947945436,323969.71887088864,0.8072735511774051,0.8315537619888866,0.9309216994834869,1.4238319225152487,0.04863842448002308,-16.88178924604093,-218758.6596158102,1.9899403216750868
33,0.03602378640380479,346425.5714593918,0.8265743479947333,0.8266314878490997,0.9200235024071269,1.405845526840146,0.04967107107331204,-19.594901458711405,-258657.18613761984,2.1976485772857264
34,0.0319592053042699,330237.4797311138,0.7979512465787686,0.8789063654184831,0.8981401891266616,1.3660845514382227,0.05354537295305399,-18.48604252442033,-245828.44693895275,2.0269239761312234
35,0.037409148336689214,311920.33165101364,0.7963634440255116,0.8291344723278817,0.9008279494151715,1.3358558640093956,0.0479902955639413,-15.579229160567538,-201545.9207452301,2.4830362936229076
36,0.03275513963151087,327779.17959439714,0.7853069991824599,0.8176596515534441,0.9194116060114477,1.4898969272114666,0.047130873513896,-15.163916955369197,-192074.62814405313,2.057421377958612
37,0.03337052577376431,334106.3262938416,0.7845055932992757,0.7872389207477279,0.9474083447883896,1.3277704277062787,0.049784520982438525,-14.991041554781216,-187971.41143540468,2.1369067466992946
38,0.0342244425882025,334675.1070242822,0.7591009970920958,0.8537338619614411,0.9226018039305891,1.3944287589648006,0.05015100086328066,-14.68037856658445,-184465.24483877007,2.1573489718210044
39,0.036409481255937494,317195.2811487139,0.8739582521186643,0.8636856002700778,0.9188229255932008,1.3368273085904174,0.05457159165814733,-22.84183469862318,-313681.8114163753,2.2145356240299607
40,0.03414262501324985,318717.6090930004,0.8133994140073801,0.8400676762268031,0.9305974817452708,1.4179891168524605,0.05000572987375682,-17.39660967153414,-227843.8219011428,2.1162239010304065
41,0.03358607912072727,325826.6833300572,0.8159194697994768,0.789010947990759,0.9087272641187767,1.3857880103800482,0.049567938775263,-16.906783788601235,-220359.61645899317,2.1713736448844023
42,0.03765236937061113,320193.80777032033,0.7384736790365264,0.8473919702299925,0.8839024152331968,1.379770630631604,0.053851320485051896,-13.208634427366432,-166579.50093435784,2.4781505215221316
43,0.037888894610266385,335918.05880784575,0.823647018812435,0.8817188216862062,0.9126878886044241,1.2567836354065265,0.04919282090025203,-20.055951323059045,-267247.3383597194,2.422223507112706
44,0.03310482346365504,349710.6049818578,0.8154952939400661,0.840815055303443,0.9075544122273366,1.420484201101158,0.051184177373556516,-19.615234480821375,-259696.7868328426,2.0239031989744247
45,0.0327186872063528,314750.9691442984,0.8568507355959676,0.8008088507033524,0.913979950821189,1.3540900185876008,0.047582206061400574,-18.91039215503401,-251699.1818339044,2.1403038016688094
46,0.031359412334527464,358724.2609344422,0.7738725745238678,0.8288812041985768,0.9194243588749352,1.4639479288729094,0.05000032031425091,-16.39791453719534,-208060.1615013939,1.9102488772340265
47,0.034525054053555694,304918.5220236353,0.835045068419146,0.8251548481481823,0.8899436830206815,1.3549134848528963,0.04902236327019337,-17.828467929513064,-237813.97267162378,2.3102738672159715
48,0.037986635805400286,326827.83430849825,0.7778191869941405,0.8376513529400249,0.879735995772131,1.292248842120548,0.04968505884340475,-15.577780264930801,-201306.3993749691,2.5751905980077257
49,0.03401796472352,341150.73674716504,0.7229930299786631,0.8023287896410519,0.9120658673664597,1.4059966257399907,0.05172426989493577,-11.773012243522784,-140042.52291687418,2.1838476278795422
50,0.03760596780281048,303620.24845574953,0.8268434956973183,0.7988444888756108,0.8911805941702371,1.3186216560290163,0.0474723274586711,-16.455205718000308,-216363.40399041196,2.5506558892461317
51,0.0320874925215065,324026.90894171194,0.8344144430234774,0.8507788964193078,0.8994968017816822,1.302601119582457,0.049483270501719356,-19.52950239767733,-261393.93374505674,2.126461350781224
52,0.036107894161511805,323733.86083182145,0.8583802544130161,0.8502127703100797,0.887755762600235,1.3331000945715856,0.05067250229020398,-21.4343778179099,-291603.98746072996,2.3180984731197727
53,0.033353777805071545,325256.4470656922,0.7570656517498725,0.8448326091169072,0.9051843441120442,1.3009863566132238,0.04857800475527054,-13.872450859877283,-173647.76041866356,2.265774346034808
54,0.03343597768697149,345267.8958953502,0.8256853762718438,0.784087781111281,0.8932197863705448,1.3568225783906025,0.04987896612496937,-18.622234538283404,-245315.42622923237,2.1724899063609846
55,0.03707668764985058,344484.2944773196,0.8592124358055788,0.7847982898433237,0.8821229810586311,1.4318123754280987,0.051995294890439823,-21.285558654860676,-287567.483127148,2.2890622455790672
56,0.03161658698383529,306447.8745895092,0.8119917847787795,0.8123337734731753,0.9460901211751322,1.3396648149665364,0.051746474937085715,-16.19606709121025,-210621.54507145064,2.036330446825066
57,0.0359175335577084,337986.7343165862,0.784468981176664,0.8790272631883724,0.8934354743945788,1.336369366877859,0.04885408198540626,-17.22954261142607,-224450.22943864285,2.3370759733521673
58,0.03735735205248388,340384.1254787671,0.8123629111694161,0.8435603410435899,0.8893248390244513,1.4050359451621528,0.04987029496655113,-18.8465425289942,-249511.0604080375,2.3453491856282547
59,0.03529610569643135,320693.79523278284,0.7772668667196714,0.7741373717969389,0.9337983867851465,1.3875631022939285,0.049735118045476076,-13.7434449997762,-171079.60351236523,2.2523088924166887
60,0.034051049057530744,345123.72839855147,0.783565905337425,0.7922443523243454,0.9004543494402094,1.4177772196162461,0.050718005156030796,-15.941197068902328,-203957.82903230845,2.1630949328001425
61,0.03381044797673531,346767.80680082995,0.8052631552328058,0.767948336806497,0.9088401312984594,1.3945194437400676,0.04864824086775985,-16.657110616495828,-213677.6935781848,2.169081195409233
62,0.037631549421214945,311024.4237660215,0.8241020821265898,0.8820493828522731,0.9326846570629547,1.3210076518551614,0.05052335986597836,-18.660286848998812,-248265.02030949644,2.3582998079361253
63,0.03412000501384842,340709.211625417,0.8130868363121808,0.7405844983558042,0.9059439300322801,1.2880713084155715,0.051034779182448205,-16.583268051376205,-214197.0240594888,2.2744771438403517
64,0.032798509427598585,332685.8036571105,0.822493323509319,0.787603981392428,0.907343671215609,1.4242934890505003,0.048761977173289076,-17.569676032299476,-229513.66073920327,2.0848755245741977
65,0.03340113329369627,353865.7970814648,0.8270035273311462,0.8514058155336302,0.9148419616694526,1.3606195128414542,0.04746816619039793,-20.355011430372443,-268963.80427591,2.0885638673913887
66,0.034169154584886494,324048.8243062022,0.8158572530920793,0.7337759656246593,0.9037908841547494,1.3598092370489978,0.05004737567570004,-15.672664161202759,-201967.21259834644,2.2683177755398054
67,0.03183756398549346,313189.21328384994,0.788707636424574,0.8127377411380685,0.8852474716394948,1.4182409615738332,0.049709736854844304,-15.134406278231546,-195759.77005876706,2.130770388673216
68,0.03445337403858378,339372.56413262314,0.727132807829439,0.8484955182480066,0.9087909534793137,1.4071880654932805,0.046969506479180405,-12.109230829901053,-144081.86696000554,2.245956731302249
69,0.03374993173777514,347446.1138156473,0.8165945217424827,0.8229541109251896,0.9318767956364292,1.4567635314100262,0.050618431324249216,-18.896219079896373,-247440.89973263396,2.004362758238997
70,0.032595106348699505,354161.9076385995,0.8286769547037487,0.7923511290183016,0.9299604858385251,1.3225524915223064,0.052481455018054825,-19.681275268366534,-259406.979369762,2.0301870061403613
71,0.031163210211358327,347055.32830315304,0.8022262785439646,0.8488410588000928,0.9028330421880734,1.480644630799871,0.049156496407118146,-18.37818583892469,-240562.5090244374,1.9119926515336425
72,0.034268328895118105,343051.62472496676,0.8136432624230471,0.8116031069282994,0.8967417413759132,1.353402617978801,0.05125901285113198,-18.491005458166985,-243750.88829414902,2.1966015140393886
73,0.036672654677381164,339605.69106223277,0.7994028572115766,0.7655174133843599,0.921511184121803,1.390705766653322,0.05259296989051698,-16.311776093973606,-209829.02831274073,2.280846055636391
74,0.03297331045311931,346703.00435578765,0.8754005320295456,0.8745067615605054,0.8965239409822319,1.3138651406537525,0.04976004272722823,-24.754959847197853,-339263.54753114196,2.060819089884788
75,0.03316675524962446,356640.8415297126,0.76758637921337,0.7362137611219054,0.8815043976004615,1.2674191876508494,0.046408029826282726,-13.767334035642413,-168812.067394104,2.3378592046561497
76,0.03333454231728684,335188.2079181604,0.8688675299174364,0.7975273243753297,0.8846106749859779,1.469277269701974,0.04985526640272473,-21.39179097028346,-289536.1374150054,2.0599035542768043
77,0.037752772266659664,354687.75224693795,0.7978160275095,0.75060193665431,0.8986776110791392,1.3229655917754612,0.05233781392990757,-16.687108227087545,-214920.98976909876,2.445594951509301
78,0.0346318626153721,302856.25814088294,0.7765039812451991,0.8506029661489387,0.9066615624836966,1.321120554313987,0.05039904042925735,-14.496248639979061,-186393.77510485434,2.3366999752329307
79,0.03504172077816894,315422.77483629883,0.8705982526128393,0.7758887220218845,0.8805320798978516,1.3285755424064223,0.05169085957054864,-19.93191743008044,-270128.2287952561,2.3356658461644844
80,0.03734809592211026,318000.3799725153,0.7569122208917279,0.8231910521883875,0.9317654720942583,1.4792565750528541,0.05351804418676912,-13.65132664053371,-171302.50572714576,2.2629312036442255
81,0.03126881412117988,337689.19136993133,0.7943456793469872,0.880787792157323,0.8837514335491408,1.491259314368187,0.05096774742778842,-18.3853648053424,-243381.99895630102,1.9236532918851634
82,0.034867549492419075,305706.25876175903,0.8040621465696197,0.8074082344175402,0.9255712214104914,1.318495161341039,0.05177357598471336,-15.669895412151217,-203571.3755537118,2.2864040495956757
83,0.03237539199721036,312318.21312861773,0.8375285642216694,0.8473678633118943,0.9143408982346479,1.4626193818081972,0.04955161465208315,-18.86700574695512,-251895.68714545312,2.0085527014070115
84,0.03415307061351356,332228.7983762795,0.7450160977710134,0.8613394252376777,0.9048972122060326,1.35863796882551,0.049677555536223224,-13.732082924806788,-170990.3502432141,2.244186754950931
85,0.03403576837021338,331637.02238566807,0.7326445362737846,0.8312560861033729,0.92689923153683,1.5058081261786989,0.05048911419611833,-12.300797415221115,-148149.71376665583,2.084175315679209
86,0.0348915636113389,314972.988474708,0.8400458150848603,0.8234402303184389,0.8715650421062425,1.3340424325697557,0.05224902122255295,-19.265203399944998,-260494.36580503156,2.3321625902752894
87,0.03148925932420165,329847.86454818293,0.8228157030922293,0.790201518569606,0.8865200593033797,1.2986130263008324,0.04898939767860786,-17.655028577556553,-232326.95689550415,2.1609977127104076
88,0.03196409995299242,322428.43107432255,0.7933245090328918,0.7953934907662396,0.8966933381059322,1.4110001355536632,0.05018635727832946,-15.537225749975635,-200457.50811475984,2.099506842941976
89,0.03487458565967912,332854.3189797058,0.7888422796136967,0.8056567452760114,0.9331948420469264,1.377081875175842,0.051381663404828845,-15.894122866051045,-203269.12436126661,2.180038950327942
90,0.03397631519746836,343047.0843734909,0.8226997870104102,0.8549908744452517,0.9063926093779937,1.359398656584813,0.04704251734402134,-19.487108901772043,-257304.32468849505,2.169524189325955
91,0.03624173892823345,325415.572057812,0.8477890061967158,0.849033180244991,0.9149285382211751,1.3739320878341372,0.04719395608053139,-20.068338753577002,-267989.5424728206,2.268985758684285
92,0.03193080946014881,332458.71872247895,0.8299787103646061,0.8404707348802563,0.9074402681260271,1.4608807349567836,0.04744136727486116,-19.120052355117974,-253058.6518513587,1.9902399322858335
93,0.03742810073838078,339744.34393477935,0.8094084311701509,0.8369260319752145,0.8843784297203029,1.3823635862964143,0.054614722190137625,-19.163812529214162,-256131.5960216776,2.3405938295834137
94,0.036184387337234766,327089.83776019735,0.7916813906958591,0.7897266143167488,0.8817927755376448,1.3638019410141853,0.05338311482548796,-16.032949928098084,-209186.99283291123,2.3810268612314336
95,0.034311809182916875,318947.7823847364,0.8268942122527445,0.8164003562015771,0.9419980688846579,1.4031811284587283,0.05188726671227979,-17.993628584356077,-237010.71568303503,2.0963550786309844
96,0.03325692908288843,336248.22893538256,0.7502091026536558,0.8724769786437674,0.8994382669283149,1.316346612563269,0.04825353072212898,-14.314418886569594,-179299.46544465615,2.2331794404593595
97,0.03201718028445079,335937.05311798886,0.823558169124198,0.8712029903516371,0.8632797098788096,1.4924067579027522,0.05010561244849192,-20.28182152602373,-273498.2902792831,1.9936692911707992
98,0.03402621403526,324344.1391566337,0.8669274636672546,0.7625980680668284,0.9360164277565237,1.4350889669507316,0.051860606905902336,-19.62490192002994,-261707.5795273791,2.054882771183628
99,0.0330161049150816,352780.6336761677,0.7867742628133882,0.7800248701383283,0.9111485741860716,1.4612546584025248,0.05023059333282771,-16.132295554242145,-205277.61055021812,2.0470838472992465
100,0.03496252282979355,346283.9694496525,0.7908166312536236,0.868244318625506,0.931573053013307,1.399176437279274,0.05272578361370426,-18.23311767894605,-238012.87564420863,2.0936950473630827
101,0.03713536228893547,339926.9411489629,0.8387681139740648,0.8392405153800354,0.8768415897234794,1.4299447612165905,0.04859416606603122,-20.53566704909257,-275795.61187467485,2.329685185125255
102,0.03635102387216031,317244.3382140246,0.7788062008751685,0.8119691162577741,0.8622528222946948,1.3906730977415145,0.047664363999746835,-14.547353047456692,-186842.2157006239,2.491930394056207
103,0.034530821768407056,350517.0079594424,0.8314834167951551,0.7523207366621555,0.8776914078787179,1.410282818180875,0.051094743222784025,-18.755966663639075,-247929.06586314805,2.2142641117094977
104,0.0312054511156268,352283.08111319336,0.7714308157295962,0.8260498506632755,0.8893631357016148,1.3607399878454596,0.04790764248428102,-15.769286280745115,-200177.63097223607,2.085319635142038
105,0.03296776177914125,328470.70403629483,0.8151067650188892,0.8067050872914396,0.8932973058249536,1.4211087983863369,0.051111404518301526,-17.688420257029666,-233286.06240083295,2.1066736473929257
106,0.03262030620882655,332805.6914428086,0.7451125290280871,0.7925598789267964,0.8938032998651051,1.3965487125157554,0.04861652874140776,-12.558175386108227,-153097.22142255283,2.1878681198037904
107,0.03256469857293284,315381.1686936818,0.8292058350138728,0.8237183661758165,0.9005158876566919,1.2935296920232582,0.05072465027204121,-18.191809145862447,-242081.8246320772,2.1847356568143934
108,0.03547503095765581,344185.71789755614,0.7691906918897472,0.7547959122213368,0.876094124659708,1.3369109914217585,0.04782408357641682,-13.941506316089232,-173689.56906875662,2.425843099977791
109,0.03196575435016607,340643.5935676209,0.7811123534561586,0.7929723679643916,0.8753804652838648,1.3901153470775602,0.04782870891147961,-15.346209633001372,-195710.95597664622,2.1590085279478006
110,0.03555700430945115,340061.2919851864,0.7421346355781157,0.8810437111254708,0.8745749915339753,1.3753783379388091,0.0502842243335663,-14.469564199815764,-183101.51897750574,2.3481936979132456
111,0.03430101319113116,332164.3548888242,0.7958152828626452,0.7447352857759307,0.8997338114518774,1.3989902951982907,0.051780477502694156,-15.286602215506582,-195749.61853757166,2.2224208491491315
112,0.03665044045470517,328480.3758866949,0.8556566317367091,0.7996855348542541,0.8764507514165488,1.4448398792530355,0.051142109722097845,-20.36247911123772,-275251.57920911413,2.303063026172181
113,0.03278003316160311,324837.59149746515,0.7723320078430043,0.818410890037446,0.8975500718285246,1.411879770965327,0.04599292913090277,-14.152133272149973,-177635.95359106438,2.1901872277420122
114,0.03579404686405828,328299.5488521519,0.7756334701091135,0.7519317399629244,0.890538820945546,1.436787534516499,0.04761382347334147,-13.536775615845292,-168518.96277206956,2.357050610876835
115,0.037975926700319365,352610.888811505,0.8321950990807038,0.8137236188102933,0.9099714853355747,1.3243880899717058,0.046763992023079126,-19.661387183377798,-258490.94736159308,2.404317006529788
116,0.03695134272746023,326929.39314546867,0.8330337850289593,0.8709812504407365,0.8864137936008627,1.324869247779071,0.05239092153246043,-20.61339534469887,-279181.8988123869,2.368312307035148
117,0.03435125285310924,352177.42023072264,0.8259752377406209,0.8145692779308809,0.886864452937643,1.4004751352103417,0.04889513885549502,-19.67943196117434,-260763.45375609273,2.1815940029519605
118,0.037899053418784245,310040.3413039707,0.785950946634904,0.766027468168768,0.9053223199804219,1.352927599825145,0.04506957342222563,-13.271679492536908,-165247.984982768,2.5500706645855074
119,0.034747760757875466,327688.042382921,0.7991037195705144,0.8606834049776024,0.8601980773326067,1.4264111901613559,0.052080643792068754,-18.067790750530364,-241110.201482533,2.2513763322131193
120,0.03768231572534455,350915.4222433855,0.8440399751947063,0.7895305247117264,0.9239123096684235,1.3656759592674772,0.05347151444551964,-20.7052740821115,-276176.87325299956,2.274200802194552
121,0.035730533933640146,327596.21508749505,0.8054666823505792,0.8098343145597108,0.8774152186132689,1.3212670891926859,0.050540111337263514,-17.075271871780004,-224582.84192991914,2.4042545223443854
122,0.033476266100511805,335838.3406229762,0.7579817749741254,0.8616736103505831,0.9086068911573681,1.453000223279997,0.05182354178285345,-15.122585719704475,-192410.0740146597,2.075813314315672
123,0.035609095957757464,321979.8986129214,0.7536219262617228,0.7964431473727402,0.8945022868320093,1.3022385956956803,0.04932753066336227,-12.841474949362807,-158883.87391973694,2.4382356590521663
124,0.03628739810729886,341016.4240467013,0.8349552366809987,0.7411833355435778,0.9073264936081396,1.4570391041532527,0.04755683965212058,-17.55786743992305,-227962.55599989442,2.277439757419992
125,0.03168438484373412,342288.62739233463,0.8586443454282545,0.8605760916388672,0.8795435430217882,1.3851082962871908,0.04670505368924076,-22.397147139993216,-303464.337490078,2.033550387657529
126,0.031822635389817285,308362.3950393039,0.8217170240623315,0.7129176697941627,0.8781713572308811,1.2773478982051574,0.04668225376386272,-14.539020918665509,-186719.43663895506,2.335599468442182
127,0.03758395943766515,321706.94966153154,0.7616756870504237,0.8667505797265805,0.8759098732826004,1.3452737442548879,0.0466486139955175,-14.352508672188112,-182380.27478167647,2.5512986671695357
128,0.03690141676463273,336908.8832133958,0.7457964140385257,0.8174111322243006,0.8971891157429055,1.3037347576952367,0.05304492731284416,-13.72791113271334,-171762.38512245452,2.4459175031295075
129,0.03498363100599878,337875.3939414799,0.7912707772738125,0.794167781369612,0.8814786621608098,1.30884571613785,0.049131658970700334,-16.074965425513128,-207375.93536287788,2.3697167242869313
130,0.035410451698549755,328421.80869543547,0.8184083598969807,0.7665504404652861,0.9029981359676046,1.4516155415920953,0.051634010414404095,-16.99707023009568,-222312.15571839106,2.214969581779085
131,0.03655686166868482,326556.3983192065,0.7431443551428616,0.8816408843241614,0.9290306912343801,1.4560529696852007,0.05079800023309083,-13.673881819215081,-169897.8770045473,2.2400520585863952
132,0.036619122316676266,335429.30443230225,0.7920789438265914,0.7905793458153835,0.8945568762222409,1.3451136918587048,0.05100788798298547,-16.10342701873813,-207931.91887502096,2.3880063646041223
133,0.03650839686673869,321561.3640856975,0.8420189042246259,0.8040256212503104,0.9020179600622195,1.299562446507372,0.05340813871795884,-19.30161237344059,-259127.5292570197,2.3662275485575037
134,0.033227441065673886,354717.83201734215,0.7530573017725053,0.7275201609009799,0.890761259360053,1.3102529400182732,0.04721361824940881,-12.619598344251935,-151102.172113746,2.294264778112484
135,0.0339099741113615,312102.7245138869,0.7807096562831479,0.7830250668696234,0.9247387905150363,1.417321330088119,0.053153397011434914,-14.208386521046693,-180780.03011794543,2.1549500076257306
136,0.03565473030448559,310801.811548405,0.8142981800618452,0.834629793161178,0.8899901649416458,1.3442365772247395,0.05242644399810679,-17.471660589250074,-232537.22403666255,2.347875831750411
137,0.03722651541135698,343573.2007710757,0.7837553259799335,0.8097749884727667,0.9101380420944305,1.372217457790649,0.04733639471155014,-15.719475921196151,-199144.21526045806,2.38555650052242
138,0.031635259530589425,325303.5268807008,0.8654281701510966,0.8566340193292756,0.8861284940670482,1.4652898509451837,0.046393466980949274,-21.56575112590568,-292303.4933740164,1.993270128553606
139,0.03359037314601147,363468.0572623818,0.8412474749790476,0.763066573260431,0.913768428877552,1.3584835797890529,0.04879629849563054,-19.880495258342062,-260967.89764946012,2.1118376021955005
140,0.0363110636415449,335891.9773359067,0.7896871866966662,0.8595679137504152,0.9034227168450583,1.3202792933741758,0.052107206170243885,-17.51542967901675,-229532.1537418997,2.328373099573382
141,0.03459235883650253,336480.84379203257,0.7700075342980113,0.8235328546163218,0.9124418263705821,1.4689172543324653,0.0522807251122763,-15.350355649802765,-195792.89897935072,2.119168967039028
142,0.03353756581330281,328885.7324934468,0.7997805195674283,0.8833659843143711,0.8935472566876155,1.4814496861993178,0.050876183475886974,-18.278077857288768,-242204.2868387053,2.0564833652726926
143,0.036658032157928046,335770.3768350892,0.8402606588814642,0.8453852775996638,0.9046111570193218,1.3545588280591638,0.04863335933973867,-20.370121183422963,-272379.1433396639,2.3077976493936228
144,0.03673662785042701,329221.76061580493,0.8660264614204324,0.7764104929672574,0.875650106330863,1.4596824762042284,0.05185388203691713,-20.574265085400643,-278692.72061066004,2.296830731934464
145,0.034198210258375425,348177.47698613815,0.7925244148237959,0.7419131752528898,0.9137899156275918,1.4698144126670658,0.05233146038319634,-15.743518005747253,-200336.70250229718,2.097733084726375
146,0.03213600881060107,349779.0429267802,0.7550393873583107,0.8645465690247485,0.9038781869268601,1.4156712169304124,0.04561976522120744,-14.714417967165954,-182736.30658902708,2.091514871271021
147,0.03579093670648897,327033.8742303158,0.7941339200651888,0.8335081343311801,0.9236670130403979,1.3273300543890392,0.05066624847728139,-16.499939793466993,-213525.2756764577,2.2901344106199413
148,0.03167766552473702,324459.9808426303,0.7793821222585372,0.7915340801527235,0.8958507558206311,1.3788246709128436,0.04549043104664719,-14.05727342740867,-176112.38782064174,2.166261642188854
149,0.03301944846266237,347193.45569643634,0.8240385340532337,0.8564886084629405,0.8892324449740892,1.3394997711123118,0.05044692199008782,-20.51305612201603,-274555.53936434217,2.115520489736889
150,0.03772007615172998,322268.42620940413,0.8348074545417793,0.7921453450575822,0.8877319399936641,1.380302683486256,0.052444088206292365,-18.525706822422233,-247555.45008083424,2.4235617785674815
151,0.03718935704915281,356763.63849818514,0.8180591123823013,0.8416994042854558,0.9210061629358463,1.410815035453971,0.048970827391603335,-19.791223269079243,-260080.82806988392,2.2394237592256254
