Element,Stream-lipidcane,Stream-lipidcane,Boiler turbogenerator-BT,Boiler turbogenerator-BT,Fermentation-R301,Stream-biodiesel,Stream-lipidcane,Biorefinery,Biorefinery,Biorefinery
Variable,Feedstock price [USD/kg],Plant capacity [kg/hr],Boiler efficiency [%],Turbo generator efficiency [%],Efficiency,Price,Lipid fraction,Utility cost [10^6 USD/yr],Net electricity production [MWh/yr],Baseline MFSP [USD/gal]
0,0.0375214126785876,339185.12893424317,0.7985764233983184,0.861487070142868,0.9042403377634488,1.4434375783525084,0.046793670133950076,-17.602188989550417,-228799.66456488628,2.3323192913632114
1,0.03255096998091999,350035.22649232013,0.7556285732003498,0.8398712782576397,0.8902778288266573,1.4092137157093696,0.04897367665096481,-14.899619063175079,-187330.98114507314,2.1195496347112184
2,0.032803263004747035,337283.45318756567,0.7368420243580402,0.8553068450910231,0.8903756766171713,1.400881305927613,0.05025219857672904,-13.409437214540013,-166272.38125131663,2.1519242933099045
3,0.037517256243147376,358036.1496760566,0.8107288205286978,0.8575913735586222,0.892562659193255,1.4086522677718643,0.04848213200204632,-19.806431411559974,-261623.8182913715,2.3281207502301045
4,0.037325880695314735,344226.65146892436,0.762345410883841,0.8578984399942904,0.8849708142877498,1.3926642481812963,0.053089228016547724,-16.10369760689339,-208082.22393723493,2.372020293802682
5,0.03476160312899044,321401.9279888665,0.8147576776539407,0.7749712069727327,0.8977361648033879,1.387607022154663,0.05105502583569485,-16.542129403802008,-216225.560618849,2.262985632386067
6,0.032285334432150245,363512.64209236956,0.7910293729358223,0.7963266113147288,0.9291759171737557,1.342518078875857,0.04826435035259295,-16.89726594193903,-214020.49803442988,2.050178715582317
7,0.03149514976903835,365166.0866597895,0.8386531379905616,0.768537459539856,0.8972601804205161,1.3455423794399433,0.04877270833314955,-20.035687131892765,-264043.1777779157,2.0322912012968013
8,0.03255699591021587,332271.28832005267,0.7637215252978287,0.7668261187486066,0.9262041927960423,1.47911021146737,0.05191087515429332,-13.536645140062143,-167545.4887832484,2.0106577568601365
9,0.03140591307149417,333378.08223369526,0.7745057889507432,0.846795318724507,0.8856555060113885,1.3352033299843942,0.05267934518389618,-16.204605355476698,-210696.69269022698,2.0900993489235975
10,0.034197320274725024,324652.6691944335,0.8085913798307004,0.876965609466378,0.9468882964163933,1.2692846587975908,0.04735400865504307,-17.670617575006045,-229708.1095023841,2.2026308142294777
11,0.03720694509115819,361584.0100358124,0.8087481239995111,0.7265082265006261,0.9192290247324718,1.3782404311751109,0.05055241918291523,-16.83049227886898,-214601.3797775459,2.32398260359858
12,0.03443120539032626,314873.4327986711,0.7834286676725394,0.7887060092945657,0.8935818737126467,1.2919742596235142,0.04951846378067173,-14.345528835272846,-183002.62147579464,2.381802373585008
13,0.031891788971716205,350502.02577849437,0.8140252836873152,0.784006821078974,0.8998168326774605,1.4032416461225372,0.04967383004644647,-18.01537005349966,-234908.02058666147,2.0357934699045455
14,0.03672003685348156,327446.8039733844,0.7837337060910248,0.8747683819857076,0.9219858073200422,1.2878449575974025,0.046445441956234484,-16.00431808214599,-204638.9957154853,2.3930030073123465
15,0.036596307101411894,331149.42958577065,0.7620449779267189,0.730960027385104,0.8882324351484531,1.389627363862986,0.05008819395506399,-12.718561802307443,-156427.36915086614,2.435806233546717
16,0.03344784371203016,316203.928338431,0.8510173012608953,0.8238337567781857,0.9326690436729292,1.4035210993577323,0.05008148843704752,-19.417737796795215,-259148.15060691175,2.064608154240761
17,0.03499961313952327,315077.84583773,0.7729403863182563,0.7491772046766207,0.907762828966052,1.344304607074205,0.053314004279310746,-13.331807594070204,-167748.07344397824,2.3306168890700234
18,0.032446038071385075,347809.3664243742,0.7964078734439526,0.7900505682752588,0.8672138760015752,1.4084568993799411,0.0457183923943877,-16.44617207625036,-211636.9585853522,2.190177965480604
19,0.03513466742231901,304431.78756194125,0.8209274042035267,0.8578051259557046,0.900325393357013,1.4081985647702553,0.04926892545009335,-17.558239869436168,-233295.00215690857,2.269345764941589
20,0.037047725357449095,338094.44455090736,0.8426989472032466,0.8713669211577558,0.9415917132438842,1.4110257401383763,0.04934033441008832,-21.19832306507711,-283094.90199072525,2.176940928624511
