,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$]
2004,18.13169092723946,27.68769269329616,0.0,0.0,11.075077077318465,0.8860061661854772,0.0,11.961083243503943,0.0,0.0,0.0,0.0,0.0,-16.612615615977695,1.2100000000000002,-20.101264895333014,-20.101264895333014
2005,135.98768195429597,207.6576951997212,0.0,0.0,83.06307807988848,7.6019329058713945,0.0,102.62609422926381,0.0,0.0,0.0,0.0,0.0,-124.5946171198327,1.1,-137.05407883181599,-157.15534372714902
2006,72.52676370895784,110.75077077318464,17.3048079333101,0.0,51.222231482597905,12.307866056948939,0.0,166.15619176881066,0.0,0.0,0.0,0.0,0.0,-76.83334722389685,1.0,-76.83334722389685,-233.98869095104587
2007,0.0,0.0,0.0,25.31505863332288,0.0,13.292495341504853,24.76217230271389,154.6865148076016,70.29615240900048,106.587715326636,17.757308554290347,-0.5975513840507363,-18.354859938341086,6.960198694981795,0.9090909090909091,6.327453359074359,-227.6612375919715
2008,0.0,0.0,0.0,43.91625008591165,0.0,12.374921184608128,24.76217230271389,142.29926368949583,74.10489219282805,120.75812067251796,18.26137887591498,-0.954700569221792,-19.21607944513677,24.700170640774875,0.8264462809917354,20.41336416592965,-207.24787342604188
2009,0.0,0.0,0.0,32.38454334578126,0.0,11.383941095159667,24.76217230271389,128.9210324819416,74.10489219282805,120.75812067251796,18.26137887591498,-0.45484903400171994,-18.7162279099167,13.668315435864564,0.7513148009015775,10.269207690356543,-196.97866573568533
2010,0.0,0.0,0.0,24.071879237752206,0.0,10.313682598555328,24.76217230271389,114.47254277778305,74.10489219282805,120.75812067251796,18.26137887591498,-0.09452961123081662,-18.355908487145797,5.71597075060641,0.6830134553650705,3.90408493313736,-193.07458080254796
2011,0.0,0.0,0.0,18.08079096751963,0.0,9.157803422222644,24.76217230271389,98.86817389729181,74.10489219282805,120.75812067251796,19.866435954034863,0.16515915271366613,-15.891011591864803,2.189779375654826,0.6209213230591549,1.3596807071392447,-191.7149000954087
2012,0.0,0.3154232833965925,0.0,17.777635096619434,0.0,7.909453911783345,24.76217230271389,82.01545550636128,74.10489219282805,120.75812067251796,19.994139000834423,0.17829969911284788,-15.70241822136499,1.7597935918578504,0.5644739300537772,0.9933576048794537,-190.72154249052926
2013,0.0,0.0,0.0,17.5271898019121,0.0,6.561236440508902,24.76217230271389,63.81451964415629,74.10489219282805,120.75812067251796,20.09963795454352,0.1891554612189425,-15.54661611826066,1.9805736836514436,0.5131581182307065,1.0163474645198334,-189.70519502600945
2014,0.0,0.0,0.0,10.150021658321052,0.0,5.105161571532504,24.76217230271389,44.15750891297491,74.10489219282805,120.75812067251796,23.20723684712576,0.50892502397743,-10.957277304493362,-0.8072556461723112,0.4665073802097331,-0.37659071665536015,-190.0817857426648
2015,0.0,0.0,0.0,29.941435162918694,0.0,3.5326007130379926,24.76217230271389,22.927937323299012,74.10489219282805,120.75812067251796,18.26137887591498,-0.3489504533811406,-18.61032932929612,11.331105833622575,0.42409761837248455,4.8054949975659,-185.27629074509892
2016,0.0,0.0,0.0,2.9934724845759813,0.0,1.834234985863921,24.76217230271389,6.44904444925487e-09,74.10489219282805,120.75812067251796,26.2219009911661,0.8191316717866135,-6.505185626979444,-3.511713142403463,0.3855432894295314,-1.3539174364551476,-186.63020818155408
2017,0.0,0.3154232833965925,0.0,2.99414351629187,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65257200620549,1.8924397868455796,8.898952744038127,11.577672976933405,0.3504938994813922,4.057903748605728,-182.57230443294836
2018,0.0,0.0,0.0,2.9934724845759813,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65285467529702,1.8924688732801316,8.89937019309704,11.892842677673022,0.3186308177103565,3.7894261872875807,-178.78287824566078
2019,0.0,0.0,0.0,2.99414351629187,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65257200620549,1.8924397868455796,8.898952744038127,11.893096260329997,0.2896643797366877,3.4450063513972085,-175.33787189426357
2020,0.0,0.0,0.0,2.9934724845759813,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65285467529702,1.8924688732801316,8.89937019309704,11.892842677673022,0.2633312543060797,3.1317571795765122,-172.20611471468706
2021,0.0,0.0,0.0,2.99414351629187,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65257200620549,1.8924397868455796,8.898952744038127,11.893096260329997,0.23939204936916333,2.84711268710513,-169.35900202758194
2022,0.0,0.3154232833965925,0.0,2.9934724845759813,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65285467529702,1.8924688732801316,8.89937019309704,11.57741939427643,0.2176291357901485,2.519583777456484,-166.83941825012545
2023,0.0,0.0,0.0,2.99414351629187,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65257200620549,1.8924397868455796,8.898952744038127,11.893096260329997,0.19784466890013497,2.352985691822422,-164.48643255830302
2024,0.0,0.0,0.0,2.9934724845759813,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65285467529702,1.8924688732801316,8.89937019309704,11.892842677673022,0.17985878990921358,2.139032292586921,-162.34740026571612
2025,0.0,0.0,0.0,2.99414351629187,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65257200620549,1.8924397868455796,8.898952744038127,11.893096260329997,0.16350799082655781,1.944616274233406,-160.4027839914827
2026,0.0,0.0,0.0,2.9934724845759813,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,36.65285467529702,1.8924688732801316,8.89937019309704,11.892842677673022,0.14864362802414344,1.7677952831296866,-158.634988708353
2027,0.0,0.3154232833965925,0.0,1.497071758145935,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.28320674939921,1.9573316223307575,9.830281594475515,11.011930069224857,0.13513057093103947,1.488048397307036,-157.14694031104597
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.12284597357367225,1.3220205123259268,-155.82491979872006
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.11167815779424749,1.201836829387206,-154.62308296933284
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.10152559799477044,1.0925789358065507,-153.5305040335263
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.09229599817706402,0.993253578005955,-152.53725045552034
2032,0.0,0.3154232833965925,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.446187161516319,0.08390545288824001,0.8764920647423451,-151.66075839077797
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.07627768444385455,0.8208707256247562,-150.8398876651532
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.06934334949441322,0.7462461142043236,-150.0936415509489
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,10.761610444912911,0.06303940863128475,0.678405558367567,-149.4152359925813
2036,0.0,0.0,-17.3048079333101,0.0,0.0,0.0,0.0,0.0,74.10489219282805,120.75812067251796,37.91384149259294,2.0222234578159353,10.761610444912911,28.066418378223013,0.05730855330116795,1.6084458336012735,-147.80679015898005
