Element,TEA,TEA,TEA,TEA,TEA,Stream-lipidcane,Biorefinery,Biorefinery,Biorefinery,Incentive 1,Incentive 1,Incentive 1,Incentive 1,Incentive 1,Incentive 2,Incentive 2,Incentive 2,Incentive 2,Incentive 2,Incentive 3,Incentive 3,Incentive 3,Incentive 3,Incentive 3,Incentive 4,Incentive 4,Incentive 4,Incentive 4,Incentive 4,Incentive 5,Incentive 5,Incentive 5,Incentive 5,Incentive 5,Incentive 6,Incentive 6,Incentive 6,Incentive 6,Incentive 6,Incentive 7,Incentive 7,Incentive 7,Incentive 7,Incentive 7,Incentive 8,Incentive 8,Incentive 8,Incentive 8,Incentive 8,Incentive 9,Incentive 9,Incentive 9,Incentive 9,Incentive 9,Incentive 10,Incentive 10,Incentive 10,Incentive 10,Incentive 10,Incentive 11,Incentive 11,Incentive 11,Incentive 11,Incentive 11,Incentive 12,Incentive 12,Incentive 12,Incentive 12,Incentive 12,Incentive 13,Incentive 13,Incentive 13,Incentive 13,Incentive 13,Incentive 14,Incentive 14,Incentive 14,Incentive 14,Incentive 14,Incentive 15,Incentive 15,Incentive 15,Incentive 15,Incentive 15,Incentive 16,Incentive 16,Incentive 16,Incentive 16,Incentive 16,Incentive 17,Incentive 17,Incentive 17,Incentive 17,Incentive 17,Incentive 18,Incentive 18,Incentive 18,Incentive 18,Incentive 18,Incentive 19,Incentive 19,Incentive 19,Incentive 19,Incentive 19,Incentive 20,Incentive 20,Incentive 20,Incentive 20,Incentive 20,Incentive 22,Incentive 22,Incentive 22,Incentive 22,Incentive 22,Incentive 23,Incentive 23,Incentive 23,Incentive 23,Incentive 23
Variable,F tax rate [%],S tax rate [%],S  P tax rate [%],Fuel tax rate [USD/gal],Sales tax rate [%],Feedstock price [USD/kg],Utility cost [10^6 USD/yr],Net electricity production [MWh/yr],Baseline MFSP [USD/gal],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD]
0,0.3273273257603023,0.013855425756373711,0.009426541283430928,0.4884464473240886,0.023485819507153366,0.03646811839980902,-24.12258861031289,"(-346349.95445889595,)",6.078779778537307,5.919817671842231,39137312.393115714,0.0,0.0,0.0,5.951323030619408,19568656.196557857,0.0,0.0,0.0,6.071952038993667,1681025.629371717,0.0,0.0,0.0,6.067470477736784,1736336.6224547187,0.0,0.0,0.0,1.7568723688073078,1059790487.9016547,0.0,0.0,0.0,5.919817671842083,39137312.393115714,0.0,0.0,0.0,6.078779778536948,0.0,1625148.6577857644,0.0,0.0,6.078779778536948,0.0,0.0,0.0,0.0,5.987395898898322,0.0,0.0,14747204.896193188,0.0,6.017855012511481,0.0,0.0,15000000.0,0.0,6.021888609619504,0.0,0.0,6621815.20038683,0.0,6.021888609619504,0.0,0.0,6621815.20038683,0.0,5.968809637730419,0.0,0.0,23486760.421013486,0.0,5.959606704387097,0.0,0.0,32226782.976668857,0.0,6.057681479921741,0.0,0.0,2000000.0,0.0,5.97312167616588,0.0,0.0,13698059.337590499,0.0,6.029453472300863,0.0,0.0,9750000.0,0.0,5.988937338830535,0.0,0.0,24283990.196179405,0.0,6.077692179614683,0.0,0.0,125000.0,0.0,4.848099504815883,0.0,0.0,303000000.0,0.0,6.078779778540453,0.0,0.0,0.0,1625148.6577857644,5.959606704387369,0.0,0.0,0.0,32226782.976670265
1,0.32185028793385956,0.08589530728653565,0.04639437576117306,0.4366183304495406,0.012686902759560303,0.031047923864462878,-24.122587841535527,"(-346349.9431568879,)",6.4503012892298335,5.580012807365097,192621146.4128299,0.0,0.0,0.0,5.752498888677008,96310573.206415,0.0,0.0,0.0,6.412920663312634,8273462.383315232,0.0,0.0,0.0,6.3883849330034055,8545685.360523043,0.0,0.0,0.0,2.1700989585836066,947338149.3480521,0.0,0.0,0.0,5.580012807535441,192621146.4128299,0.0,0.0,0.0,6.450301289228315,0.0,877895.8346713234,0.0,0.0,6.450301289228315,0.0,0.0,0.0,0.0,6.213410769022694,0.0,0.0,32695590.858030383,0.0,6.382529253442237,0.0,0.0,15000000.0,0.0,6.3051213279385525,0.0,0.0,15000000.0,0.0,6.344818075559226,0.0,0.0,10898530.286010128,0.0,5.669589624061677,0.0,0.0,149573782.2864226,0.0,5.998487717317985,0.0,0.0,100000000.0,0.0,6.426831775234711,0.0,0.0,2000000.0,0.0,5.982740196961864,0.0,0.0,54492651.43005064,0.0,6.395431251812425,0.0,0.0,9750000.0,0.0,5.8007235481572215,0.0,0.0,157188582.81361496,0.0,6.449091456218712,0.0,0.0,125000.0,0.0,5.081306166338512,0.0,0.0,303000000.0,0.0,6.450301289227732,0.0,0.0,0.0,877895.8346713234,5.90812500293553,0.0,0.0,0.0,120000000.0
2,0.33524711019681025,0.02354038485439349,0.035500229522557436,0.1208641119434837,0.05628403685941109,0.030132645166844472,-24.122587474168203,"(-346349.9377571749,)",2.8185873073011414,2.2035019641822893,147390601.05153257,0.0,0.0,0.0,2.325408277691305,73695300.52576628,0.0,0.0,0.0,2.792168165167534,6330720.237855606,0.0,0.0,0.0,2.7748272847560207,6539020.960876549,0.0,0.0,0.0,1.7242126790517969,262240900.45170423,0.0,0.0,0.0,2.203501964178903,147390601.05153257,0.0,0.0,0.0,2.818587307311936,0.0,3894687.505726296,0.0,0.0,2.818587307311936,0.0,0.0,0.0,0.0,2.7387226273472063,0.0,0.0,13152085.699834403,0.0,2.757347874929538,0.0,0.0,14865307.649488857,0.0,2.772495911645803,0.0,0.0,5297173.168598367,0.0,2.772495911645803,0.0,0.0,5297173.168598367,0.0,2.719452813097312,0.0,0.0,22044374.444955356,0.0,2.7099395504976225,0.0,0.0,30937733.32504257,0.0,2.8005966346518574,0.0,0.0,1634331.1155789867,0.0,2.409755595749529,0.0,0.0,51586710.36803639,0.0,2.768208350799306,0.0,0.0,9720084.755139,0.0,2.73637364735747,0.0,0.0,23377710.132407345,0.0,2.81746984791414,0.0,0.0,125000.0,0.0,1.847433150239273,0.0,0.0,271205456.2451423,0.0,2.8185873072895435,0.0,0.0,0.0,3894687.505726296,2.709939550498861,0.0,0.0,0.0,30937733.325053457
3,0.37564643112717044,0.05730703608659036,0.052600966292335204,0.3549794389585693,0.06632250906333718,0.03421449141966955,-24.122587298595214,"(-346349.9351767012,)",6.301514778323569,5.270935930540436,218389800.65724158,0.0,0.0,0.0,5.475190623800451,109194900.32862082,0.0,0.0,0.0,6.25724936157173,9380277.432461444,0.0,0.0,0.0,6.228194621356425,9688918.293092543,0.0,0.0,0.0,2.6669272392171597,770204870.7191329,0.0,0.0,0.0,5.270935930515661,218389800.65724158,0.0,0.0,0.0,6.301514778172512,0.0,4589319.852964019,0.0,0.0,6.301514778172512,0.0,0.0,0.0,0.0,6.0540933646732835,0.0,0.0,32695591.00146004,0.0,6.230729958238094,0.0,0.0,15000000.0,0.0,6.149880888198294,0.0,0.0,15000000.0,0.0,6.191342341537003,0.0,0.0,10898530.333820015,0.0,5.773297992128787,0.0,0.0,97102172.4837499,0.0,5.836222835552634,0.0,0.0,99420518.3798723,0.0,6.277001934447987,0.0,0.0,2000000.0,0.0,5.813168405152405,0.0,0.0,54492651.66910007,0.0,6.244205510812675,0.0,0.0,9750000.0,0.0,5.864580202816639,0.0,0.0,101542461.1678194,0.0,6.300251162420284,0.0,0.0,125000.0,0.0,4.871661415550545,0.0,0.0,303000000.0,0.0,6.301514778177254,0.0,0.0,0.0,4589319.852964019,5.769817701236021,0.0,0.0,0.0,116871402.70926875
4,0.3461673997331598,0.034178941416293004,0.006078767630536774,0.1990290428293751,0.04900164509303084,0.03194742364839325,-24.122587214655475,"(-346349.9339430371,)",3.285604262623712,3.1766177576993884,25237955.60326347,0.0,0.0,0.0,3.1982182448280128,12618977.801631741,0.0,0.0,0.0,3.2809230749114433,1084020.5197943298,0.0,0.0,0.0,3.277850457404631,1119688.2342057542,0.0,0.0,0.0,1.407987503979409,431836668.2058373,0.0,0.0,0.0,3.176617757699929,25237955.60326347,0.0,0.0,0.0,3.2856042626270305,0.0,3390767.7194639463,0.0,0.0,3.2856042626270305,0.0,0.0,0.0,0.0,3.1541135851410567,0.0,0.0,20756327.560773477,0.0,3.2208289060324025,0.0,0.0,15000000.0,0.0,3.208077975216013,0.0,0.0,8585812.18255157,0.0,3.2081202001653932,0.0,0.0,8579610.058775786,0.0,3.1238308434737143,0.0,0.0,34392012.73863771,0.0,3.1089309559927054,0.0,0.0,48030782.37003953,0.0,3.263172501201906,0.0,0.0,2000000.0,0.0,3.2131636820748324,0.0,0.0,8833284.461142218,0.0,3.2331604161517866,0.0,0.0,9750000.0,0.0,3.1513446859062766,0.0,0.0,36429397.9512559,0.0,3.2844479248556246,0.0,0.0,125000.0,0.0,2.198014509134333,0.0,0.0,281084231.6048741,0.0,3.2856042626312405,0.0,0.0,0.0,3390767.7194639463,3.1089309559938356,0.0,0.0,0.0,48030782.37005397
5,0.3566722825657856,0.01295956841782836,0.018842931020314,0.5551629619428904,0.028884254178116207,0.03559739064349084,-24.122587174543543,"(-346349.9333535121,)",7.045778704146861,6.713685186086724,78232478.28905489,0.0,0.0,0.0,6.779504176859058,39116239.144527435,0.0,0.0,0.0,7.031514625317973,3360240.943654198,0.0,0.0,0.0,7.022152031654445,3470803.536655443,0.0,0.0,0.0,1.9325307071478937,1204546433.9693675,0.0,0.0,0.0,6.713685186084177,78232478.28905489,0.0,0.0,0.0,7.045778704136259,0.0,1998704.2580662547,0.0,0.0,7.045778704136259,0.0,0.0,0.0,0.0,6.939521915754266,0.0,0.0,16279853.473681957,0.0,6.982104346891132,0.0,0.0,15000000.0,0.0,6.978807730381716,0.0,0.0,7442551.536584771,0.0,6.978807730381716,0.0,0.0,7442551.536584771,0.0,6.918603448388711,0.0,0.0,25688942.85550588,0.0,6.908244796175007,0.0,0.0,35098519.362916104,0.0,7.023728219728411,0.0,0.0,2000000.0,0.0,6.82504452001781,0.0,0.0,27381367.401169207,0.0,6.994226255932935,0.0,0.0,9750000.0,0.0,6.942106163145867,0.0,0.0,26446884.87901813,0.0,7.044642020865235,0.0,0.0,125000.0,0.0,5.75955668778169,0.0,0.0,303000000.0,0.0,7.045778704135064,0.0,0.0,0.0,1998704.2580662547,6.908244796175055,0.0,0.0,0.0,35098519.362916335
6,0.3784674022216934,0.024102610501310538,0.021467688212173795,0.15262669812483534,0.06477631794121308,0.032750264737219585,-24.12258715537102,"(-346349.9330717341,)",3.3152983517464674,2.9160855465275617,89130000.55164967,0.0,0.0,0.0,2.9952071870169323,44565000.275824845,0.0,0.0,0.0,3.2981513657076267,3828311.254675861,0.0,0.0,0.0,3.2868965019966003,3954274.8492554165,0.0,0.0,0.0,1.832049143628025,331156718.9412241,0.0,0.0,0.0,2.9160855465339206,89130000.55164967,0.0,0.0,0.0,3.3152983517478507,0.0,4482328.0432528835,0.0,0.0,3.3152983517478507,0.0,0.0,0.0,0.0,3.219240370480132,0.0,0.0,14620832.487723168,0.0,3.2481134261803213,0.0,0.0,15000000.0,0.0,3.2589795355538205,0.0,0.0,6014436.914311243,0.0,3.2589795355538205,0.0,0.0,6014436.914311243,0.0,3.1968141619570427,0.0,0.0,24281491.545363087,0.0,3.1857500682453472,0.0,0.0,33943492.791548185,0.0,3.2945105223489732,0.0,0.0,1770977.2694446454,0.0,3.04995167058832,0.0,0.0,31195500.19307739,0.0,3.2609036577392034,0.0,0.0,9750000.0,0.0,3.217185956165173,0.0,0.0,25669984.86938953,0.0,3.314098999619553,0.0,0.0,125000.0,0.0,2.176848603856091,0.0,0.0,282150398.80848473,0.0,3.3152983517595,0.0,0.0,0.0,4482328.0432528835,3.185750068245324,0.0,0.0,0.0,33943492.79154799
7,0.3900418120694709,0.03349348816960406,0.06102177159659136,0.2960196213453676,0.008624890264331275,0.030978665804187233,-24.122587146219008,"(-346349.9329372228,)",5.491586975612073,4.315557259123189,253351477.93816012,0.0,0.0,0.0,4.548639462938387,126675738.96908003,0.0,0.0,0.0,5.441074154231624,10881951.175861396,0.0,0.0,0.0,5.407918769382741,11240001.921622656,0.0,0.0,0.0,2.5101995560251593,642278760.867599,0.0,0.0,0.0,4.315557259087692,253351477.93816012,0.0,0.0,0.0,5.491586975631228,0.0,596816.6875391178,0.0,0.0,5.491586975631228,0.0,0.0,0.0,0.0,5.264104699336472,0.0,0.0,31243434.219503645,0.0,5.42195862417526,0.0,0.0,15000000.0,0.0,5.349170023217375,0.0,0.0,14391090.150482658,0.0,5.383214514481542,0.0,0.0,10898530.347237892,0.0,5.203783589594703,0.0,0.0,54006757.925776,0.0,5.180315504298932,0.0,0.0,74032915.08585003,0.0,5.467474617931501,0.0,0.0,2000000.0,0.0,5.011219109088375,0.0,0.0,54492651.736189455,0.0,5.435214015820558,0.0,0.0,9750000.0,0.0,5.25488396518996,0.0,0.0,56224704.383259945,0.0,5.490344004586678,0.0,0.0,125000.0,0.0,4.085094276230959,0.0,0.0,303000000.0,0.0,5.49158697562483,0.0,0.0,0.0,596816.6875391178,5.180315504298622,0.0,0.0,0.0,74032915.08584616
8,0.3288559266935979,0.03125232640865276,0.0655049848672048,0.5434156129412875,0.042202253283423724,0.03652969534804115,-24.122587141845386,"(-346349.93287294166,)",7.727557698999261,6.590260305607935,271964977.33176374,0.0,0.0,0.0,6.815665989773026,135982488.6658819,0.0,0.0,0.0,7.678708508114423,11681438.090864604,0.0,0.0,0.0,7.6466450897798115,12065794.4964602,0.0,0.0,0.0,2.796997823763372,1179058012.876752,0.0,0.0,0.0,6.590260305629327,271964977.33176374,0.0,0.0,0.0,7.7275576990020625,0.0,2920270.083476232,0.0,0.0,7.7275576990020625,0.0,0.0,0.0,0.0,7.5083027148294,0.0,0.0,32695591.042871896,0.0,7.664831016074296,0.0,0.0,15000000.0,0.0,7.593185796288217,0.0,0.0,15000000.0,0.0,7.629927281695958,0.0,0.0,10898530.347623967,0.0,7.406803757253478,0.0,0.0,65526611.990005806,0.0,7.381607389788379,0.0,0.0,89237109.22614929,0.0,7.705835395020383,0.0,0.0,2000000.0,0.0,7.294804628951261,0.0,0.0,54492651.738119826,0.0,7.676772513057442,0.0,0.0,9750000.0,0.0,7.465038870629431,0.0,0.0,67658644.4669234,0.0,7.7264379331466175,0.0,0.0,125000.0,0.0,6.460478703837538,0.0,0.0,303000000.0,0.0,7.727557699005628,0.0,0.0,0.0,2920270.083476232,7.381607389788081,0.0,0.0,0.0,89237109.2261458
