Element,,Biorefinery,Biorefinery,Biorefinery,Incentive 1,Incentive 1,Incentive 1,Incentive 1,Incentive 1,Incentive 2,Incentive 2,Incentive 2,Incentive 2,Incentive 2,Incentive 3,Incentive 3,Incentive 3,Incentive 3,Incentive 3,Incentive 4,Incentive 4,Incentive 4,Incentive 4,Incentive 4,Incentive 5,Incentive 5,Incentive 5,Incentive 5,Incentive 5,Incentive 6,Incentive 6,Incentive 6,Incentive 6,Incentive 6,Incentive 7,Incentive 7,Incentive 7,Incentive 7,Incentive 7,Incentive 8,Incentive 8,Incentive 8,Incentive 8,Incentive 8,Incentive 9,Incentive 9,Incentive 9,Incentive 9,Incentive 9,Incentive 10,Incentive 10,Incentive 10,Incentive 10,Incentive 10,Incentive 11,Incentive 11,Incentive 11,Incentive 11,Incentive 11,Incentive 12,Incentive 12,Incentive 12,Incentive 12,Incentive 12,Incentive 13,Incentive 13,Incentive 13,Incentive 13,Incentive 13,Incentive 14,Incentive 14,Incentive 14,Incentive 14,Incentive 14,Incentive 15,Incentive 15,Incentive 15,Incentive 15,Incentive 15,Incentive 16,Incentive 16,Incentive 16,Incentive 16,Incentive 16,Incentive 17,Incentive 17,Incentive 17,Incentive 17,Incentive 17,Incentive 18,Incentive 18,Incentive 18,Incentive 18,Incentive 18,Incentive 19,Incentive 19,Incentive 19,Incentive 19,Incentive 19,Incentive 20,Incentive 20,Incentive 20,Incentive 20,Incentive 20,Incentive 21,Incentive 21,Incentive 21,Incentive 21,Incentive 21,Incentive 22,Incentive 22,Incentive 22,Incentive 22,Incentive 22,Incentive 23,Incentive 23,Incentive 23,Incentive 23,Incentive 23
Metric,,Utility cost [10^6 USD/yr],Net electricity production [MWh/yr],Baseline MFSP [USD/gal],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD],MFSP [USD/gal],Excemptions [USD],Deductions [USD],Credits [USD],Refunds [USD]
Element,Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stream-lipidcane,Flow rate [kg/hr],-0.18015001500150013,-0.5407860786078608,-0.18016201620162015,-0.18580258025802576,0.061818181818181814,,,,-0.1861146114611461,0.061818181818181814,,,,-0.1845184518451845,0.06789078907890789,,,,-0.18433843384338433,0.05896189618961895,,,,-0.09608160816081608,-0.09785778577857786,,,,-0.18580258025802576,0.061818181818181814,,,,-0.18016201620162015,,0.10910291029102909,,,-0.18016201620162015,,,,,-0.18865886588658864,,,0.36849684968496843,,-0.17629762976297628,,,0.2176109393589637,,-0.18220222022202218,,,0.09540199587294,,-0.18143414341434141,,,0.45416141614161415,,-0.1816261626162616,,,0.01948994899489949,,-0.1972277227722772,,,0.03014834430505872,,-0.1785058505850585,,,0.17295750180260763,,-0.18762676267626763,,,0.263030303030303,,-0.1785058505850585,,,0.2166256625561133,,-0.1850945094509451,,,0.018277827782778276,,-0.18016201620162015,,,-0.06789368059162308,,-0.15325532553255325,,,-0.0528869809190485,,-0.18016201620162015,,,,0.10910291029102909,-0.18016201620162015,,,,0.10910291029102909,-0.19672367236723673,,,,0.020285128309197917
Conveying belt,Base cost [USD],-0.13545754575457544,-0.07673567356735674,-0.17946594659465942,-0.15257125712571257,-0.09252925292529253,,,,-0.15938793879387936,-0.09252925292529253,,,,-0.18237023702370236,-0.09518151815181516,,,,-0.1826942694269427,-0.0905130513051305,,,,-0.17489348934893487,-0.04297629762976297,,,,-0.15257125712571257,-0.09252925292529253,,,,-0.17946594659465942,,-0.14939093909390935,,,-0.17946594659465942,,,,,-0.18492649264926492,,,-0.09713771377137713,,-0.17942994299429937,,,0.03075609157133081,,-0.184986498649865,,,-0.11065181623230268,,-0.18193819381938192,,,-0.05951395139513951,,-0.18699069906990695,,,-0.1701170117011701,,-0.1866306630663066,,,-0.16677095623954494,,-0.17897389738973896,,,0.06512268994815605,,-0.17000900090009,,,-0.13400540054005397,,-0.17897389738973896,,,0.029423070014533183,,-0.1826942694269427,,,-0.16784878487848784,,-0.17946594659465942,,,0.1131561343193718,,-0.18515451545154513,,,-0.030069687771683982,,-0.17946594659465942,,,,-0.14939093909390935,-0.17946594659465942,,,,-0.14939093909390935,-0.183030303030303,,,,-0.1777162800311019
Conveying belt,Exponent,-0.018145814581458142,0.07176717671767176,-0.19003900390039002,-0.155019501950195,-0.1627602760276027,,,,-0.1624362436243624,-0.1627602760276027,,,,-0.189018901890189,-0.16030003000300028,,,,-0.1882148214821482,-0.16608460846084608,,,,-0.026318631863186313,-0.22661866186618662,,,,-0.155019501950195,-0.1627602760276027,,,,-0.19003900390039002,,0.04967296729672967,,,-0.19003900390039002,,,,,-0.19588358835883588,,,-0.08217221722172216,,-0.1915151515151515,,,-0.04951498913148296,,-0.19595559555955594,,,-0.06683123735586576,,-0.19546354635463545,,,-0.0794959495949595,,-0.17072907290729072,,,-0.12674467446744672,,-0.18387038703870387,,,-0.13528430770786942,,-0.19147914791479145,,,-0.09356687246282515,,-0.17190519051905187,,,-0.16938493849384936,,-0.19147914791479145,,,-0.049225201836526955,,-0.16746474647464743,,,-0.12698469846984697,,-0.19003900390039002,,,-0.07485713501127673,,-0.18389438943894387,,,-0.21730369344252834,,-0.19003900390039002,,,,0.04967296729672967,-0.19003900390039002,,,,0.04967296729672967,-0.18419441944194417,,,,-0.13501930814892618
Magnetic separator,Base cost [USD],-0.08128412841284129,0.0847044704470447,-0.046240624062406234,-0.08736873687368735,0.11549954995499548,,,,-0.07765976597659766,0.11549954995499548,,,,-0.05143714371437143,0.12138013801380136,,,,-0.05164116411641164,0.11681968196819681,,,,-0.018745874587458744,-0.037623762376237616,,,,-0.08736873687368735,0.11549954995499548,,,,-0.046240624062406234,,0.15597959795979596,,,-0.046240624062406234,,,,,-0.05590159015901589,,,0.08619261926192619,,-0.045652565256525654,,,0.048684265552609074,,-0.053969396939693964,,,0.09289703811441988,,-0.05222922292229223,,,0.08232823282328232,,-0.03963996399639964,,,0.03031503150315031,,-0.0519051905190519,,,0.06682396331538944,,-0.046960696069606955,,,0.04027300116196865,,-0.054701470147014694,,,0.10149414941494149,,-0.046960696069606955,,,0.049708180661453626,,-0.04548454845484548,,,0.029006900690069004,,-0.046240624062406234,,,-0.040039862913008484,,-0.05269726972697269,,,-0.046569976830969716,,-0.046240624062406234,,,,0.15597959795979596,-0.046240624062406234,,,,0.15597959795979596,-0.05516951695169517,,,,0.04187761416015288
Magnetic separator,Exponent,-0.07371137113711371,-0.09326132613261325,-0.07572757275727572,-0.03961596159615961,-0.1368496849684968,,,,-0.049924992499249914,-0.1368496849684968,,,,-0.07488748874887488,-0.14154215421542152,,,,-0.07474347434743474,-0.14655865586558656,,,,-0.11963996399639962,0.013909390939093907,,,,-0.03961596159615961,-0.1368496849684968,,,,-0.07572757275727572,,0.07588358835883587,,,-0.07572757275727572,,,,,-0.0761956195619562,,,-0.023930393039303926,,-0.07327932793279328,,,-0.17957152710773863,,-0.07468346834683467,,,-0.12952638166859365,,-0.07404740474047403,,,0.016297629762976294,,-0.04756075607560756,,,-0.15459945994599458,,-0.06345034503450345,,,-0.13008925402818416,,-0.07482748274827483,,,-0.1610553261404411,,-0.06466246624662465,,,-0.07349534953495349,,-0.07482748274827483,,,-0.17947493134275327,,-0.06019801980198019,,,-0.15660366036603662,,-0.07572757275727572,,,-0.12360131594885228,,-0.055841584158415836,,,-0.08913648216682928,,-0.07572757275727572,,,,0.07588358835883587,-0.07572757275727572,,,,0.07588358835883587,-0.05683768376837683,,,,-0.15619006576060468
Shredder,Base cost [USD],0.012313231323132313,0.034059405940594055,-0.003192319231923192,-0.017089708970897087,0.10343834383438341,,,,-0.008592859285928591,0.10343834383438341,,,,-0.00642064206420642,0.096009600960096,,,,-0.00564056405640564,0.0974017401740174,,,,0.03261926192619262,-0.02345034503450345,,,,-0.017089708970897087,0.10343834383438341,,,,-0.003192319231923192,,-0.018841884188418843,,,-0.003192319231923192,,,,,-0.0006480648064806481,,,-0.05563756375637563,,-0.002748274827482748,,,0.10322223446332948,,-0.0012961296129612961,,,-0.09634054593750178,,-0.002388238823882388,,,0.026066606660666063,,0.00876087608760876,,,-0.06629462946294629,,-0.0015121512151215122,,,-0.04326372572590348,,-0.0038763876387638762,,,0.04438099399451919,,-0.013969396939693967,,,0.19020702070207018,,-0.0038763876387638762,,,0.1031449578513412,,0.006168616861686168,,,-0.06445844584458446,,-0.003192319231923192,,,-0.0574484989621426,,-0.003192319231923192,,,-0.04204892257247306,,-0.003192319231923192,,,,-0.018841884188418843,-0.003192319231923192,,,,-0.018841884188418843,0.000948094809480948,,,,-0.060228817257811575
Shredder,Exponent,-0.02285028502850285,-0.0045124512451245125,0.022694269426942693,0.019405940594059406,0.03564356435643564,,,,0.018697869786978696,0.03564356435643564,,,,0.015505550555055505,0.027806780678067803,,,,0.01548154815481548,0.030915091509150908,,,,0.02747074707470747,-0.036663666366636656,,,,0.019405940594059406,0.03564356435643564,,,,0.022694269426942693,,-0.04438043804380437,,,0.022694269426942693,,,,,0.017245724572457242,,,0.08670867086708668,,0.02125412541254125,,,0.07049558928629783,,0.021374137413741372,,,0.02183908908849308,,0.01984998499849985,,,0.0941134113411341,,0.019501950195019498,,,-0.02088208820882088,,0.008592859285928591,,,-0.00820015498854301,,0.021290129012901286,,,0.022318871773276797,,0.017677767776777677,,,0.09206120612061205,,0.021290129012901286,,,0.06931712095347672,,0.019909990999099906,,,-0.02317431743174317,,0.022694269426942693,,,-0.06441195338179626,,0.014017401740174016,,,0.010844294283483708,,0.022694269426942693,,,,-0.04438043804380437,0.022694269426942693,,,,-0.04438043804380437,0.00774077407740774,,,,-0.023183003781940475
Shredder,Electricity rate [kW / kg/hr],-0.0837203720372037,-0.08402040204020401,0.1036063606360636,0.11713171317131711,-0.0831083108310831,,,,0.11749174917491748,-0.0831083108310831,,,,0.11012301230123012,-0.08057605760576057,,,,0.11000300030002999,-0.0773117311731173,,,,-0.09549354935493548,0.13104110411041103,,,,0.11713171317131711,-0.0831083108310831,,,,0.1036063606360636,,-0.027998799879987997,,,0.1036063606360636,,,,,0.10129012901290127,,,0.08708070807080708,,0.1037023702370237,,,0.17414284511556274,,0.10438643864386438,,,0.12641945731694082,,0.10078607860786078,,,0.06843084308430843,,0.07254725472547253,,,0.19294329432943294,,0.09688568856885688,,,0.14771228741231554,,0.10193819381938192,,,0.18209045015354589,,0.11897989798979897,,,-0.08284428442844284,,0.10193819381938192,,,0.17250071711081205,,0.08206420642064205,,,0.19159915991599155,,0.1036063606360636,,,-0.12011958873902545,,0.09629762976297629,,,0.12704474263221024,,0.1036063606360636,,,,-0.027998799879987997,0.1036063606360636,,,,-0.027998799879987997,0.09262526252625262,,,,0.17758976155931896
